job title,department,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,benefits,technical_skills,experience_min_req,experience_max_req,edu_value,language_proficiency,education_requirement_std,salary
Sustainability Manager,Sustainable Farming,2025-04-11,2025-05-03,2025-06-02,Agriculture,Tindouf,Bac,12,Stage,15,"Crèche d'entreprise, Voiture de fonction, Épargne entreprise","Permaculture Design, Agroecology, Precision Agriculture, Organic Certification, Water Conservation, Soil Health Management",4,9,12,"Arabic, French",Baccalaureate,44600.0
Operations Manager,Operations,2025-04-16,2025-04-24,2025-05-24,Construction,Oran,Bac,12,CDD,12,"Formation continue, Épargne entreprise, Voiture de fonction","French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",0,15,12,"Arabic, French",Baccalaureate,55600.0
Supply Chain Manager,Operations,2025-03-29,2025-04-25,2025-05-25,Public Sector,Djanet,Licence,15,Freelance,8,"Assurance maladie, Crèche d'entreprise, Télétravail partiel","Report Writing, Microsoft Office, Team Leadership, Project Management, French Bilingual",4,3,15,"Arabic, French",License,47200.0
Operations Manager,Operations,2025-04-14,2025-05-20,2025-06-19,Construction,Djanet,Master,17,Freelance,5,"Crèche d'entreprise, Télétravail partiel, Formation continue","Project Management, Report Writing, Microsoft Office, Team Leadership, French Bilingual",2,4,17,"Arabic, French",Master,64700.0
Supply Chain Manager,Operations,2025-04-03,2025-05-19,2025-06-18,Renewable Energy,Sétif,Licence,15,Stage,12,"Voiture de fonction, Télétravail partiel, Tickets restaurant","Project Management, French Bilingual, Team Leadership, Report Writing, Microsoft Office",4,4,15,"Arabic, French",License,48300.0
Production Supervisor,Operations,2025-04-07,2025-05-11,2025-06-10,Construction,Tamanrasset,Doctorat,20,Stage,4,"Tickets restaurant, Crèche d'entreprise, Voiture de fonction","Team Leadership, Report Writing, French Bilingual, Microsoft Office, Project Management",3,15,20,"Arabic, French",Doctorat,58800.0
Team Leader,General Management,2025-04-04,2025-04-21,2025-05-21,Pharmaceuticals,El Oued,Licence,15,CDI,6,"Assurance maladie, Voiture de fonction, Prime de performance","Project Management, French Bilingual, Report Writing, Microsoft Office, Team Leadership",3,11,15,"Arabic, French",License,54600.0
Supply Chain Manager,Export Operations,2025-03-26,2025-05-09,2025-06-08,Agriculture,Illizi,Master,17,Stage,10,"Formation continue, Tickets restaurant, Crèche d'entreprise","Team Leadership, French Bilingual, Microsoft Office, Report Writing, Project Management",5,14,17,"Arabic, French",Master,69800.0
Plant Scientist,Agronomy Research,2025-03-30,2025-04-30,2025-05-30,Agriculture,El Tarf,Licence,15,CDI,7,"Crèche d'entreprise, Voiture de fonction, Tickets restaurant","Report Writing, French Bilingual, Microsoft Office, Team Leadership, Project Management",4,15,15,"Arabic, French",License,59800.0
General Director,General Management,2025-04-13,2025-06-12,2025-07-12,Mining,Biskra,Bac,12,Freelance,5,"Crèche d'entreprise, Télétravail partiel, Assurance maladie","Report Writing, Microsoft Office, Team Leadership, Project Management, French Bilingual",4,3,12,"Arabic, French",Baccalaureate,39400.0
General Director,General Management,2025-04-05,2025-04-22,2025-05-22,Mining,Sétif,Bac,12,CDD,3,"Épargne entreprise, Tickets restaurant, Voiture de fonction","Microsoft Office, Project Management, Team Leadership, Report Writing, French Bilingual",0,3,12,"Arabic, French",Baccalaureate,35900.0
Facilities Manager,Operations,2025-04-23,2025-06-18,2025-07-18,Fisheries,Aïn Témouchent,Ingénieur d'État,19,CDD,1,"Épargne entreprise, Télétravail partiel, Assurance maladie","Team Leadership, Microsoft Office, Project Management, French Bilingual, Report Writing",5,4,19,"Arabic, French",Ingénieur d'État,41100.0
Pediatric Department Manager,Pediatric Care,2025-04-05,2025-04-30,2025-05-30,Healthcare,Naama,Bac,12,Freelance,11,"Crèche d'entreprise, Tickets restaurant, Formation continue","Team Leadership, Microsoft Office, French Bilingual, Project Management, Report Writing",3,7,12,"Arabic, French",Baccalaureate,54000.0
Team Leader,General Management,2025-03-31,2025-04-25,2025-05-25,Pharmaceuticals,Naama,Doctorat,20,Stage,11,"Formation continue, Assurance maladie, Crèche d'entreprise","Microsoft Office, Report Writing, Team Leadership, French Bilingual, Project Management",3,8,20,"Arabic, French",Doctorat,42900.0
Quality Assurance Manager,Food Processing,2025-03-30,2025-04-20,2025-05-20,Agriculture,Timimoun,Ingénieur d'État,19,Freelance,11,"Télétravail partiel, Épargne entreprise, Crèche d'entreprise","French Bilingual, Report Writing, Project Management, Microsoft Office, Team Leadership",5,9,19,"Arabic, French",Ingénieur d'État,45500.0
Shariah Compliance Officer,Islamic Finance,2025-04-11,2025-05-25,2025-06-24,Banking & Finance,El Tarf,Ingénieur d'État,19,Stage,7,"Prime de performance, Épargne entreprise, Assurance maladie","Risk Sharing Models, Sukuk Structuring, Takaful Operations, Murabaha Transactions, Sharia Compliance, Islamic Banking Products",5,12,19,"Arabic, French",Ingénieur d'État,48100.0
Administrative Manager,General Management,2025-04-05,2025-04-27,2025-05-27,Telecommunications,Tindouf,Doctorat,20,Alternance,10,"Formation continue, Voiture de fonction, Assurance maladie","Report Writing, Microsoft Office, French Bilingual, Team Leadership, Project Management",4,4,20,"Arabic, French",Doctorat,40200.0
Logistics Coordinator,Operations,2025-04-22,2025-05-31,2025-06-30,Tourism & Hospitality,Adrar,Bac,12,CDI,3,"Assurance maladie, Télétravail partiel, Crèche d'entreprise","Microsoft Office, Team Leadership, Report Writing, Project Management, French Bilingual",4,4,12,"Arabic, French",Baccalaureate,40200.0
Supply Chain Manager,Operations,2025-04-07,2025-05-29,2025-06-28,Telecommunications,Chlef,Bac,12,Freelance,3,"Prime de performance, Tickets restaurant, Voiture de fonction","Team Leadership, Project Management, Report Writing, Microsoft Office, French Bilingual",3,6,12,"Arabic, French",Baccalaureate,41100.0
Equipment Calibration Specialist,Medical Equipment Maintenance,2025-04-21,2025-05-19,2025-06-18,Healthcare,Tindouf,Master,17,CDD,10,"Télétravail partiel, Prime de performance, Formation continue","Report Writing, Project Management, Microsoft Office, French Bilingual, Team Leadership",2,5,17,"Arabic, French",Master,70900.0
Child Life Specialist,Pediatric Care,2025-04-05,2025-05-11,2025-06-10,Healthcare,Aïn Témouchent,Ingénieur d'État,19,CDI,2,"Formation continue, Télétravail partiel, Épargne entreprise","Team Leadership, French Bilingual, Project Management, Report Writing, Microsoft Office",3,7,19,"Arabic, French",Ingénieur d'État,54000.0
Team Leader,General Management,2025-04-09,2025-05-24,2025-06-23,Construction,Djanet,Licence,15,Alternance,9,"Formation continue, Tickets restaurant, Crèche d'entreprise","Project Management, Microsoft Office, Report Writing, Team Leadership, French Bilingual",3,11,15,"Arabic, French",License,65500.0
Supply Chain Manager,Operations,2025-04-17,2025-05-06,2025-06-05,E-Commerce,Oran,Master,17,CDI,3,"Télétravail partiel, Assurance maladie, Voiture de fonction","Report Writing, Team Leadership, French Bilingual, Project Management, Microsoft Office",2,13,17,"Arabic, French, English",Master,102000.0
Department Director,General Management,2025-04-15,2025-04-25,2025-05-25,Tourism & Hospitality,Constantine,Master,17,Stage,2,"Crèche d'entreprise, Formation continue, Assurance maladie","Report Writing, Team Leadership, French Bilingual, Project Management, Microsoft Office",0,13,17,"Arabic, French",Master,62500.0
Technical Support Engineer,IT Support,2025-04-14,2025-06-13,2025-07-13,Information Technology,Biskra,Licence,15,CDI,13,"Formation continue, Tickets restaurant, Épargne entreprise","Report Writing, Team Leadership, Project Management, French Bilingual, Microsoft Office",5,9,15,"Arabic, French",License,54600.0
Team Leader,General Management,2025-04-16,2025-05-24,2025-06-23,Media & Entertainment,Naama,Doctorat,20,CDD,3,"Télétravail partiel, Tickets restaurant, Voiture de fonction","Microsoft Office, French Bilingual, Report Writing, Project Management, Team Leadership",4,12,20,"Arabic, French, English",Doctorat,60800.0
Department Director,General Management,2025-04-20,2025-05-20,2025-06-19,Pharmaceuticals,Biskra,Licence,15,Freelance,14,"Tickets restaurant, Télétravail partiel, Prime de performance","Project Management, French Bilingual, Microsoft Office, Report Writing, Team Leadership",3,6,15,"Arabic, French",License,49400.0
Production Supervisor,Operations,2025-04-12,2025-05-14,2025-06-13,Aerospace & Defense,Annaba,Ingénieur d'État,19,CDD,12,"Formation continue, Télétravail partiel, Tickets restaurant","Microsoft Office, Report Writing, Team Leadership, French Bilingual, Project Management",2,3,19,"Arabic, French",Ingénieur d'État,37600.0
Operations Manager,Operations,2025-03-31,2025-04-20,2025-05-20,Fisheries,Djanet,Master,17,Stage,15,"Formation continue, Prime de performance, Télétravail partiel","Report Writing, Project Management, French Bilingual, Team Leadership, Microsoft Office",1,12,17,"Arabic, French",Master,62500.0
Cloud Engineer,Cloud Infrastructure,2025-03-27,2025-04-18,2025-05-18,Information Technology,Timimoun,Doctorat,20,Freelance,15,"Formation continue, Prime de performance, Voiture de fonction","Project Management, Team Leadership, Microsoft Office, French Bilingual, Report Writing",5,4,20,"Arabic, French",Doctorat,41100.0
General Director,General Management,2025-04-22,2025-06-14,2025-07-14,Mining,Jijel,Licence,15,Alternance,12,"Voiture de fonction, Tickets restaurant, Crèche d'entreprise","French Bilingual, Report Writing, Project Management, Team Leadership, Microsoft Office",4,15,15,"Arabic, French",License,59800.0
Systems Designer,Irrigation Technology,2025-04-18,2025-06-07,2025-07-07,Agriculture,Mostaganem,Master,17,Alternance,1,"Crèche d'entreprise, Télétravail partiel, Voiture de fonction","Microsoft Office, French Bilingual, Project Management, Team Leadership, Report Writing",4,11,17,"Arabic, French",Master,64900.0
Finance Manager,Hospital Administration,2025-04-19,2025-05-01,2025-05-31,Healthcare,In Salah,Doctorat,20,Freelance,5,"Voiture de fonction, Crèche d'entreprise, Prime de performance","Project Management, French Bilingual, Report Writing, Microsoft Office, Team Leadership",3,10,20,"Arabic, French",Doctorat,57400.0
General Director,General Management,2025-04-03,2025-04-13,2025-05-13,Pharmaceuticals,Tindouf,Licence,15,CDD,15,"Assurance maladie, Prime de performance, Épargne entreprise","French Bilingual, Microsoft Office, Team Leadership, Report Writing, Project Management",2,13,15,"Arabic, French",License,55600.0
Department Director,General Management,2025-04-14,2025-05-21,2025-06-20,Public Sector,Tébessa,Licence,15,Stage,2,"Tickets restaurant, Voiture de fonction, Crèche d'entreprise","Team Leadership, Project Management, French Bilingual, Report Writing, Microsoft Office",3,4,15,"Arabic, French",License,47200.0
Operations Manager,Operations,2025-03-29,2025-04-19,2025-05-19,Fisheries,Ouargla,Ingénieur d'État,19,CDI,14,"Télétravail partiel, Assurance maladie, Voiture de fonction","Project Management, Report Writing, Team Leadership, Microsoft Office, French Bilingual",3,4,19,"Arabic, French",Ingénieur d'État,39400.0
Supply Chain Manager,Operations,2025-04-01,2025-05-12,2025-06-11,Aerospace & Defense,Jijel,Master,17,CDI,13,"Voiture de fonction, Formation continue, Assurance maladie","Report Writing, Microsoft Office, French Bilingual, Team Leadership, Project Management",2,10,17,"Arabic, French",Master,61200.0
Facilities Manager,Operations,2025-03-29,2025-04-11,2025-05-11,Mining,Chlef,Bac,12,Alternance,5,"Épargne entreprise, Prime de performance, Tickets restaurant","Team Leadership, Report Writing, Project Management, French Bilingual, Microsoft Office",1,7,12,"Arabic, French",Baccalaureate,40200.0
Logistics Coordinator,Operations,2025-03-31,2025-04-27,2025-05-27,Transport & Logistics,Chlef,Bac,12,Stage,9,"Tickets restaurant, Formation continue, Voiture de fonction","Team Leadership, Report Writing, French Bilingual, Project Management, Microsoft Office",1,4,12,"Arabic, French",Baccalaureate,37600.0
Loan Officer,Retail Banking,2025-04-14,2025-06-10,2025-07-10,Banking & Finance,Aïn Témouchent,Licence,15,Alternance,11,"Formation continue, Assurance maladie, Télétravail partiel","French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",0,5,15,"Arabic, French",License,45200.0
Regulatory Affairs Specialist,Pharmaceutical Development,2025-03-31,2025-05-06,2025-06-05,Healthcare,Sétif,Ingénieur d'État,19,CDD,3,"Formation continue, Crèche d'entreprise, Épargne entreprise","Report Writing, Team Leadership, Microsoft Office, Project Management, French Bilingual",2,6,19,"Arabic, French",Ingénieur d'État,51700.0
QA Engineer,Software Development,2025-04-10,2025-05-06,2025-06-05,Information Technology,Ouargla,Ingénieur d'État,19,CDD,11,"Crèche d'entreprise, Assurance maladie, Formation continue","CI, CD Pipelines, Spring Boot, Git, Java, .NET, REST APIs, Microservices, Agile Methodology",5,4,19,"Arabic, French",Ingénieur d'État,41100.0
Project Manager,General Management,2025-04-23,2025-05-01,2025-05-31,Media & Entertainment,Ghardaïa,Bac,12,Freelance,11,"Prime de performance, Télétravail partiel, Épargne entreprise","Project Management, Microsoft Office, Report Writing, Team Leadership, French Bilingual",1,11,12,"Arabic, French, English",Baccalaureate,56200.0
Operations Manager,General Management,2025-03-26,2025-05-18,2025-06-17,Fisheries,Ghardaïa,Bac,12,Freelance,13,"Télétravail partiel, Crèche d'entreprise, Formation continue","Project Management, Microsoft Office, Team Leadership, French Bilingual, Report Writing",4,8,12,"Arabic, French",Baccalaureate,43800.0
Logistics Coordinator,Operations,2025-04-17,2025-05-03,2025-06-02,Public Sector,In Salah,Master,17,CDD,11,"Assurance maladie, Crèche d'entreprise, Voiture de fonction","French Bilingual, Report Writing, Team Leadership, Project Management, Microsoft Office",0,5,17,"Arabic, French",Master,52700.0
Training Manager,Vocational Training,2025-04-07,2025-06-05,2025-07-05,Education,Jijel,Bac,12,Stage,1,"Télétravail partiel, Assurance maladie, Tickets restaurant","Report Writing, Microsoft Office, French Bilingual, Project Management, Team Leadership",4,4,12,"Arabic, French",Baccalaureate,34500.0
IT Support Specialist,IT Support,2025-04-18,2025-05-01,2025-05-31,Information Technology,Djanet,Bac,12,CDI,7,"Télétravail partiel, Prime de performance, Crèche d'entreprise","Microsoft Office, Team Leadership, Project Management, French Bilingual, Report Writing",2,3,12,"Arabic, French",Baccalaureate,37600.0
Operations Manager,Operations,2025-04-12,2025-04-23,2025-05-23,Telecommunications,In Salah,Doctorat,20,Stage,4,"Assurance maladie, Formation continue, Crèche d'entreprise","Microsoft Office, Report Writing, Team Leadership, Project Management, French Bilingual",1,6,20,"Arabic, French",Doctorat,39400.0
Production Supervisor,Operations,2025-04-01,2025-04-16,2025-05-16,Retail,Béchar,Ingénieur d'État,19,Stage,10,"Assurance maladie, Formation continue, Épargne entreprise","Team Leadership, Microsoft Office, Project Management, French Bilingual, Report Writing",5,13,19,"Arabic, French",Ingénieur d'État,49000.0
Operations Manager,General Management,2025-03-27,2025-04-08,2025-05-08,Media & Entertainment,Algiers,Master,17,CDD,6,"Voiture de fonction, Crèche d'entreprise, Télétravail partiel","French Bilingual, Project Management, Team Leadership, Microsoft Office, Report Writing",0,14,17,"Arabic, French, English",Master,81900.0
Sukuk Structuring Manager,Islamic Finance,2025-03-29,2025-04-25,2025-05-25,Banking & Finance,Annaba,Ingénieur d'État,19,Freelance,1,"Prime de performance, Assurance maladie, Tickets restaurant","Takaful Operations, Murabaha Transactions, Sukuk Structuring, Islamic Banking Products, Risk Sharing Models, Sharia Compliance",2,15,19,"Arabic, French",Ingénieur d'État,48100.0
Academic Advisor,Higher Education,2025-04-24,2025-06-09,2025-07-09,Education,Jijel,Doctorat,20,Stage,9,"Prime de performance, Épargne entreprise, Formation continue","Microsoft Office, French Bilingual, Team Leadership, Report Writing, Project Management",0,13,20,"Arabic, French",Doctorat,38200.0
Project Manager,General Management,2025-04-14,2025-05-22,2025-06-21,Retail,Aïn Témouchent,Master,17,Alternance,2,"Prime de performance, Épargne entreprise, Crèche d'entreprise","Team Leadership, Report Writing, French Bilingual, Project Management, Microsoft Office",2,13,17,"Arabic, French",Master,64900.0
Integrity Manager,Pipeline Management,2025-03-26,2025-05-08,2025-06-07,Energy & Petroleum,Ghardaïa,Bac,12,CDD,12,"Formation continue, Assurance maladie, Crèche d'entreprise","Project Management, Team Leadership, Microsoft Office, French Bilingual, Report Writing",0,9,12,"Arabic, French",Baccalaureate,70500.0
Logistics Coordinator,Operations,2025-04-01,2025-05-31,2025-06-30,Transport & Logistics,El Oued,Doctorat,20,Stage,10,"Prime de performance, Télétravail partiel, Formation continue","Report Writing, Project Management, Team Leadership, French Bilingual, Microsoft Office",3,10,20,"Arabic, French",Doctorat,44600.0
Business Intelligence Analyst,Data Science & AI,2025-04-19,2025-05-15,2025-06-14,Information Technology,Timimoun,Ingénieur d'État,19,CDI,5,"Assurance maladie, Épargne entreprise, Voiture de fonction","French Bilingual, Project Management, Report Writing, Team Leadership, Microsoft Office",1,11,19,"Arabic, French",Ingénieur d'État,43800.0
Investment Manager,Investment Management,2025-04-20,2025-06-07,2025-07-07,Banking & Finance,Béjaïa,Licence,15,Freelance,12,"Crèche d'entreprise, Voiture de fonction, Prime de performance","Report Writing, French Bilingual, Project Management, Microsoft Office, Team Leadership",4,15,15,"Arabic, French",License,59800.0
Financial Analyst,Investment Management,2025-04-14,2025-05-20,2025-06-19,Banking & Finance,Illizi,Bac,12,CDI,9,"Crèche d'entreprise, Voiture de fonction, Assurance maladie","Project Management, Team Leadership, Report Writing, French Bilingual, Microsoft Office",4,8,12,"Arabic, French",Baccalaureate,43800.0
Supply Chain Manager,Operations,2025-04-03,2025-05-12,2025-06-11,Media & Entertainment,Ouargla,Bac,12,Freelance,10,"Formation continue, Tickets restaurant, Voiture de fonction","Project Management, Team Leadership, French Bilingual, Report Writing, Microsoft Office",4,9,12,"Arabic, French, English",Baccalaureate,57400.0
Facilities Manager,Operations,2025-03-30,2025-04-10,2025-05-10,Transport & Logistics,Ouargla,Licence,15,Stage,1,"Crèche d'entreprise, Épargne entreprise, Tickets restaurant","Report Writing, Microsoft Office, Team Leadership, Project Management, French Bilingual",5,5,15,"Arabic, French",License,50400.0
Fund Accountant,Investment Management,2025-04-21,2025-05-16,2025-06-15,Banking & Finance,In Salah,Licence,15,Stage,4,"Assurance maladie, Épargne entreprise, Formation continue","Microsoft Office, Team Leadership, Project Management, French Bilingual, Report Writing",3,3,15,"Arabic, French",License,46200.0
Facilities Manager,Operations,2025-04-08,2025-05-12,2025-06-11,E-Commerce,Ouargla,Bac,12,CDD,9,"Assurance maladie, Tickets restaurant, Formation continue","Team Leadership, Report Writing, French Bilingual, Microsoft Office, Project Management",4,8,12,"Arabic, French, English",Baccalaureate,68800.0
Hospital Director,Hospital Administration,2025-04-19,2025-06-06,2025-07-06,Healthcare,Blida,Master,17,Freelance,2,"Assurance maladie, Épargne entreprise, Prime de performance","Report Writing, Team Leadership, French Bilingual, Microsoft Office, Project Management",1,3,17,"Arabic, French",Master,66200.0
Mobile UX Designer,Mobile Development,2025-04-11,2025-05-04,2025-06-03,Information Technology,Ouargla,Ingénieur d'État,19,CDI,1,"Prime de performance, Formation continue, Assurance maladie","Report Writing, Team Leadership, French Bilingual, Project Management, Microsoft Office",0,15,19,"Arabic, French",Ingénieur d'État,46400.0
Department Director,General Management,2025-04-17,2025-06-03,2025-07-03,Tourism & Hospitality,Aïn Témouchent,Doctorat,20,CDD,8,"Voiture de fonction, Prime de performance, Épargne entreprise","French Bilingual, Microsoft Office, Team Leadership, Project Management, Report Writing",0,8,20,"Arabic, French",Doctorat,40200.0
Maintenance Supervisor,Medical Equipment Maintenance,2025-04-20,2025-05-17,2025-06-16,Healthcare,Oran,Bac,12,CDD,7,"Prime de performance, Télétravail partiel, Crèche d'entreprise","Microsoft Office, Project Management, Team Leadership, French Bilingual, Report Writing",2,12,12,"Arabic, French",Baccalaureate,58500.0
Quality Control Specialist,Refining & Processing,2025-04-03,2025-05-01,2025-05-31,Energy & Petroleum,El Oued,Licence,15,Alternance,11,"Épargne entreprise, Tickets restaurant, Formation continue","Microsoft Office, Project Management, Team Leadership, Report Writing, French Bilingual",2,9,15,"Arabic, French",License,88200.0
Water Management Specialist,Irrigation Technology,2025-04-21,2025-06-07,2025-07-07,Agriculture,Constantine,Master,17,CDI,15,"Crèche d'entreprise, Voiture de fonction, Formation continue","Microsoft Office, French Bilingual, Project Management, Team Leadership, Report Writing",1,10,17,"Arabic, French",Master,60000.0
Administrative Manager,General Management,2025-04-13,2025-04-28,2025-05-28,Public Sector,Blida,Doctorat,20,Alternance,9,"Télétravail partiel, Formation continue, Voiture de fonction","French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",2,6,20,"Arabic, French",Doctorat,40200.0
Operations Manager,General Management,2025-04-18,2025-05-10,2025-06-09,Fisheries,Mostaganem,Ingénieur d'État,19,Alternance,11,"Tickets restaurant, Épargne entreprise, Prime de performance","Project Management, Team Leadership, French Bilingual, Microsoft Office, Report Writing",4,3,19,"Arabic, French",Ingénieur d'État,39400.0
Pediatric Nurse,Pediatric Care,2025-04-19,2025-06-05,2025-07-05,Healthcare,Djanet,Doctorat,20,Alternance,6,"Voiture de fonction, Assurance maladie, Formation continue","Microsoft Office, French Bilingual, Report Writing, Project Management, Team Leadership",3,11,20,"Arabic, French",Doctorat,58500.0
Administrative Manager,General Management,2025-03-29,2025-04-25,2025-05-25,Pharmaceuticals,Adrar,Ingénieur d'État,19,Stage,8,"Assurance maladie, Prime de performance, Tickets restaurant","Project Management, Report Writing, French Bilingual, Team Leadership, Microsoft Office",1,13,19,"Arabic, French",Ingénieur d'État,45500.0
Administrative Manager,General Management,2025-04-19,2025-05-28,2025-06-27,Manufacturing,Aïn Témouchent,Licence,15,CDD,9,"Épargne entreprise, Tickets restaurant, Télétravail partiel","French Bilingual, Project Management, Microsoft Office, Report Writing, Team Leadership",4,9,15,"Arabic, French",License,58100.0
Quality Control Analyst,Pharmaceutical Development,2025-03-31,2025-05-13,2025-06-12,Healthcare,Chlef,Bac,12,Freelance,4,"Formation continue, Crèche d'entreprise, Prime de performance","Project Management, French Bilingual, Microsoft Office, Team Leadership, Report Writing",0,4,12,"Arabic, French",Baccalaureate,47200.0
Team Leader,General Management,2025-04-19,2025-04-26,2025-05-26,Manufacturing,Skikda,Bac,12,Freelance,6,"Voiture de fonction, Prime de performance, Formation continue","Microsoft Office, French Bilingual, Project Management, Report Writing, Team Leadership",5,12,12,"Arabic, French",Baccalaureate,52200.0
Learning Experience Designer,E-Learning Platforms,2025-04-23,2025-06-03,2025-07-03,Education,Oran,Ingénieur d'État,19,Alternance,8,"Prime de performance, Assurance maladie, Épargne entreprise","Microsoft Office, Report Writing, French Bilingual, Project Management, Team Leadership",1,14,19,"Arabic, French",Ingénieur d'État,39800.0
Project Manager,General Management,2025-04-16,2025-05-27,2025-06-26,Aerospace & Defense,Mostaganem,Master,17,CDI,4,"Crèche d'entreprise, Voiture de fonction, Épargne entreprise","Team Leadership, Report Writing, Microsoft Office, French Bilingual, Project Management",5,8,17,"Arabic, French",Master,62500.0
Supply Chain Manager,Operations,2025-04-01,2025-05-13,2025-06-12,E-Commerce,Adrar,Licence,15,CDI,1,"Crèche d'entreprise, Prime de performance, Voiture de fonction","Team Leadership, Microsoft Office, French Bilingual, Report Writing, Project Management",4,9,15,"Arabic, French, English",License,84200.0
Facilities Manager,Operations,2025-04-18,2025-05-27,2025-06-26,Public Sector,Béjaïa,Master,17,Stage,7,"Télétravail partiel, Formation continue, Voiture de fonction","Project Management, Report Writing, French Bilingual, Team Leadership, Microsoft Office",2,3,17,"Arabic, French",Master,52700.0
Operations Manager,Operations,2025-04-06,2025-05-08,2025-06-07,Media & Entertainment,Ouargla,Licence,15,CDI,14,"Crèche d'entreprise, Épargne entreprise, Télétravail partiel","Project Management, French Bilingual, Team Leadership, Report Writing, Microsoft Office",0,15,15,"Arabic, French, English",License,71600.0
Administrative Manager,General Management,2025-04-18,2025-05-09,2025-06-08,Aerospace & Defense,Constantine,Bac,12,Stage,6,"Prime de performance, Tickets restaurant, Crèche d'entreprise","Microsoft Office, Report Writing, French Bilingual, Project Management, Team Leadership",0,5,12,"Arabic, French",Baccalaureate,37600.0
Project Manager,General Management,2025-04-09,2025-05-29,2025-06-28,Renewable Energy,Skikda,Master,17,CDD,8,"Voiture de fonction, Tickets restaurant, Assurance maladie","Microsoft Office, Project Management, Report Writing, Team Leadership, French Bilingual",2,5,17,"Arabic, French",Master,55100.0
Team Leader,General Management,2025-04-05,2025-05-31,2025-06-30,Pharmaceuticals,Annaba,Master,17,CDD,11,"Tickets restaurant, Crèche d'entreprise, Voiture de fonction","Report Writing, Microsoft Office, French Bilingual, Project Management, Team Leadership",1,10,17,"Arabic, French",Master,60000.0
Biomedical Engineer,Medical Equipment Maintenance,2025-04-14,2025-04-28,2025-05-28,Healthcare,Laghouat,Master,17,Freelance,11,"Voiture de fonction, Prime de performance, Télétravail partiel","Microsoft Office, French Bilingual, Team Leadership, Project Management, Report Writing",2,6,17,"Arabic, French",Master,72400.0
Department Director,General Management,2025-04-17,2025-05-13,2025-06-12,Manufacturing,Naama,Master,17,Freelance,4,"Prime de performance, Télétravail partiel, Voiture de fonction","Report Writing, Team Leadership, Project Management, French Bilingual, Microsoft Office",2,11,17,"Arabic, French",Master,67800.0
General Director,General Management,2025-03-31,2025-05-11,2025-06-10,Retail,Sétif,Doctorat,20,CDI,6,"Crèche d'entreprise, Formation continue, Assurance maladie","Microsoft Office, Report Writing, Project Management, French Bilingual, Team Leadership",0,6,20,"Arabic, French",Doctorat,38500.0
Supply Chain Manager,Operations,2025-04-10,2025-05-06,2025-06-05,Pharmaceuticals,Jijel,Licence,15,CDI,15,"Formation continue, Voiture de fonction, Prime de performance","Project Management, French Bilingual, Team Leadership, Report Writing, Microsoft Office",1,9,15,"Arabic, French",License,50400.0
Department Director,General Management,2025-04-16,2025-05-10,2025-06-09,E-Commerce,Annaba,Master,17,CDI,4,"Télétravail partiel, Crèche d'entreprise, Voiture de fonction","French Bilingual, Microsoft Office, Report Writing, Team Leadership, Project Management",5,4,17,"Arabic, French, English",Master,90500.0
Facilities Manager,Operations,2025-04-02,2025-05-08,2025-06-07,E-Commerce,Chlef,Bac,12,CDI,12,"Voiture de fonction, Prime de performance, Crèche d'entreprise","Team Leadership, Report Writing, French Bilingual, Project Management, Microsoft Office",1,7,12,"Arabic, French, English",Baccalaureate,63200.0
Department Director,General Management,2025-04-14,2025-05-12,2025-06-11,Aerospace & Defense,Tamanrasset,Doctorat,20,Stage,1,"Épargne entreprise, Voiture de fonction, Télétravail partiel","Project Management, Report Writing, Microsoft Office, French Bilingual, Team Leadership",2,15,20,"Arabic, French",Doctorat,48100.0
Logistics Coordinator,Operations,2025-03-30,2025-04-25,2025-05-25,E-Commerce,Chlef,Bac,12,Freelance,4,"Tickets restaurant, Crèche d'entreprise, Voiture de fonction","Project Management, French Bilingual, Report Writing, Microsoft Office, Team Leadership",1,12,12,"Arabic, French, English",Baccalaureate,70100.0
Financial Advisor,Retail Banking,2025-04-03,2025-05-14,2025-06-13,Banking & Finance,Biskra,Licence,15,CDD,6,"Assurance maladie, Formation continue, Crèche d'entreprise","Report Writing, Project Management, Team Leadership, Microsoft Office, French Bilingual",1,9,15,"Arabic, French",License,50400.0
Administrative Manager,General Management,2025-04-06,2025-05-28,2025-06-27,Telecommunications,Sétif,Master,17,CDI,10,"Assurance maladie, Télétravail partiel, Tickets restaurant","Project Management, Report Writing, French Bilingual, Team Leadership, Microsoft Office",3,11,17,"Arabic, French",Master,63700.0
Supply Chain Manager,Operations,2025-04-04,2025-04-23,2025-05-23,Tourism & Hospitality,Mostaganem,Bac,12,Alternance,5,"Formation continue, Crèche d'entreprise, Prime de performance","Project Management, Team Leadership, Report Writing, Microsoft Office, French Bilingual",1,6,12,"Arabic, French",Baccalaureate,39400.0
Project Manager,General Management,2025-04-17,2025-05-11,2025-06-10,Media & Entertainment,Béchar,Master,17,Stage,15,"Assurance maladie, Formation continue, Épargne entreprise","Microsoft Office, French Bilingual, Report Writing, Project Management, Team Leadership",5,11,17,"Arabic, French, English",Master,85000.0
