job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
General Director,Sonalgaz,General Management,Junior,2025-03-30,2025-05-12,2025-06-11,Mining,Ouargla,Doctorat,17,Stage,8,Intéresser sauver étonner visage bouche fait jusque pendre. Inconnu paysan donner devoir. Aujourd'Hui réel combat. François dangereux refuser.,"Assurance maladie, Épargne entreprise, Crèche d'entreprise",115000,"Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing, Team Leadership",1,15
Facilities Manager,Raynaud S.A.S. EURL,Operations,Lead,2025-04-20,2025-04-27,2025-05-27,Construction,Batna,Bac,18,CDD,6,Quitter mettre interrompre agiter. Sang besoin devoir découvrir mois troisième. Soldat puisque grâce force fleur françois.,"Voiture de fonction, Épargne entreprise, Tickets restaurant",112000,"Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing",0,5
Logistics Coordinator,Sonatrach,Operations,Mid,2025-04-01,2025-05-27,2025-06-26,Renewable Energy,Tindouf,Master,18,Stage,12,Chasser doigt endormir ailleurs as révolution au arme. Douceur chance demain branche. Retomber calme instinct saluer. Autorité déchirer siècle entrer bord. Admettre appartenir militaire bord relation arriver très. Marchand écouter désigner saison partager par lumière.,"Tickets restaurant, Télétravail partiel, Voiture de fonction",35000,"Report Writing, Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual",3,5
Production Supervisor,Algérie Télécom,Operations,Junior,2025-03-31,2025-05-05,2025-06-04,Aerospace & Defense,El Oued,Licence,14,Stage,1,Ça arbre bord. Exister tu santé quelqu'un droite. Relation voyager voir médecin cour début ton. Pays danger jusque appartement campagne empire. Horizon durer détruire. Mettre devant rang vent crier point déchirer million.,"Épargne entreprise, Voiture de fonction, Crèche d'entreprise",43000,"Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",3,9
Operations Manager,Normand SA SPA,General Management,Senior,2025-03-29,2025-04-25,2025-05-25,Transport & Logistics,Tamanrasset,Master,15,Freelance,3,Seul armer plein fonction courir pourquoi signer réalité. Pleurer moi vrai petit éclairer autour. Désert rejoindre toi. Règle retirer respect dur jeunesse delà flamme.,"Formation continue, Assurance maladie, Prime de performance",139000,"Microsoft Office, Project Management, Report Writing, Arabic/French Bilingual, Team Leadership",3,12
Facilities Manager,Leclerc EURL,Operations,Senior,2025-03-27,2025-04-19,2025-05-19,Fisheries,El Oued,Master,14,CDI,9,Oui foule immense semaine nom apporter. Dernier large fils retenir acte. Soirée répondre ministre grandir calmer.,"Assurance maladie, Voiture de fonction, Tickets restaurant",33000,"Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership, Report Writing",3,9
Department Director,Naftal,Food Processing,Lead,2025-04-01,2025-05-09,2025-06-08,Agriculture,Ghardaïa,Master,20,CDD,7,Énergie ton colère puis perdu résoudre hasard. Respirer animal manquer. Propos amener presser semaine pensée tendre. Charge prétendre étendue projet mentir entrée plein certain. Billet est faux pendre.,"Prime de performance, Tickets restaurant, Formation continue",94000,"Project Management, Arabic/French Bilingual, Report Writing, Team Leadership, Microsoft Office",2,15
Project Manager,Masse EURL,General Management,Chief,2025-04-04,2025-04-30,2025-05-30,Aerospace & Defense,Annaba,Doctorat,16,Stage,11,Partager inutile oeuvre consulter prêter sou lors. Papier respirer leur réfléchir immobile. Toucher essayer pain cercle. Cela décider capable adresser.,"Crèche d'entreprise, Tickets restaurant, Formation continue",144000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",2,13
Administrative Manager,Bruneau S.A.S. EURL,General Management,Junior,2025-04-05,2025-05-27,2025-06-26,Renewable Energy,Illizi,Master,14,Stage,8,Temps animer vous garçon. Plein sac respirer bonheur appartenir or salut type. Habiter sou doux miser vaincre vide. Simple morceau endroit second verser jambe. Supérieur sourire morceau peser taire. Consentir nom veiller cour signe emporter beaux.,"Épargne entreprise, Voiture de fonction, Télétravail partiel",116000,"Project Management, Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership",1,15
Operations Manager,Laurent SPA,Operations,Mid,2025-04-05,2025-06-03,2025-07-03,Renewable Energy,In Salah,Ingénieur d'État,16,Freelance,7,Vite malgré ministre brûler côté but claire port. Le respecter chaise savoir l'une. Miser descendre certain éviter. Cesse porter depuis confier second.,"Télétravail partiel, Assurance maladie, Prime de performance",63000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management, Team Leadership",0,4
Team Leader,Raynaud S.A.S. EURL,General Management,Lead,2025-04-09,2025-05-23,2025-06-22,E-Commerce,Biskra,Doctorat,17,Stage,15,Autorité beau femme pain dès quartier art. Attacher rose éclater avant. Établir endroit ignorer condition vide payer. Quand voisin parce que prévenir soi offrir. Fille voie rayon.,"Prime de performance, Tickets restaurant, Assurance maladie",106000,"Arabic/French Bilingual, Microsoft Office, Project Management, Report Writing, Team Leadership",2,5
Logistics Coordinator,Fontaine SPA,Operations,Junior,2025-04-04,2025-04-25,2025-05-25,Fisheries,Tlemcen,Bac,18,CDI,11,Ennemi causer champ entrer quand plaire titre dix. Ton taille voici près comprendre. Milieu sou le cas vendre drôle.,"Tickets restaurant, Voiture de fonction, Assurance maladie",98000,"Microsoft Office, Report Writing, Project Management, Arabic/French Bilingual, Team Leadership",5,3
Supply Chain Manager,Masse EURL,Operations,Lead,2025-04-04,2025-04-12,2025-05-12,Transport & Logistics,Tiaret,Doctorat,19,Stage,8,Curiosité rouge vers éprouver. Vingt six flot. Longtemps mur placer contraire fumer. Mener descendre apparence entretenir révéler. Sol retirer sang préférer sentier. Rire rejoindre étoile.,"Assurance maladie, Prime de performance, Voiture de fonction",54000,"Team Leadership, Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual",3,15
General Director,Lévêque SPA,Food Processing,Chief,2025-04-05,2025-04-28,2025-05-28,Agriculture,Tébessa,Master,12,CDI,6,Ignorer seuil somme doigt. Jeune pur plaine commander bon. Chasser aspect résoudre danser. Règle important port rapidement parce que toit billet. Fruit blond rond disparaître voici avoir.,"Tickets restaurant, Épargne entreprise, Télétravail partiel",116000,"Microsoft Office, Project Management, Report Writing, Team Leadership, Arabic/French Bilingual",5,4
Project Manager,Louis et Fils SARL,Irrigation Technology,Senior,2025-04-18,2025-06-17,2025-07-17,Agriculture,Saïda,Bac,17,Freelance,4,Billet témoin branche oreille fleur immobile. Soir scène but livrer blond surveiller. Police déposer miser tel. Certain souvenir secret naturel.,"Assurance maladie, Tickets restaurant, Épargne entreprise",96000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management, Team Leadership",3,15
Project Manager,Mahe SA SARL,E-Learning Platforms,Mid,2025-04-04,2025-05-25,2025-06-24,Education,Tébessa,Master,16,CDD,13,Pays geste blanc double disposer français folie découvrir. Casser violence colon tandis que somme bientôt abri. Eaux valoir forme larme pendant expression chaleur pensée. Usage trente finir.,"Tickets restaurant, Formation continue, Crèche d'entreprise",87000,"Project Management, Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office",4,13
Operations Manager,Peron SA EURL,Operations,Chief,2025-03-30,2025-05-18,2025-06-17,Construction,Oran,Bac,18,CDI,5,Morceau marche chat. Long agent juge père nécessaire paix rencontre soulever. Pendant plusieurs envelopper abri. Conversation attacher militaire demeurer. Effort paix inquiéter ci entier répandre résultat. Rassurer branche vite instant ici.,"Formation continue, Voiture de fonction, Épargne entreprise",57000,"Project Management, Microsoft Office, Arabic/French Bilingual, Team Leadership, Report Writing",0,9
Department Director,CNAN,General Management,Senior,2025-04-03,2025-05-06,2025-06-05,Public Sector,Illizi,Master,18,CDD,12,Important branche partir frapper regarder été soudain battre. Accuser on françois. Intéresser que propos peuple. Pourquoi triste remarquer moyen groupe moi soutenir.,"Prime de performance, Crèche d'entreprise, Épargne entreprise",38000,"Report Writing, Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management",3,6
Data Scientist,Sauvage SA SARL,Data Science & AI,Chief,2025-03-30,2025-04-28,2025-05-28,Information Technology,Biskra,Bac,17,Alternance,1,Grand rejoindre cerveau interroger droit secret. Fenêtre social obéir et éclairer apparaître. Exister papa faux donc paysage.,"Télétravail partiel, Crèche d'entreprise, Prime de performance",115000,"Team Leadership, Arabic/French Bilingual, Report Writing, Project Management, Microsoft Office",2,5
General Director,Laurent SPA,General Management,Chief,2025-04-23,2025-05-28,2025-06-27,Manufacturing,Ghardaïa,Ingénieur d'État,13,Stage,10,Train après facile calme. Défendre non chant. Enfoncer large deviner exprimer vif mensonge tempête. Chiffre curieux calme midi calme ton. Je ça permettre quand pouvoir. Nombre attirer remplacer proposer désir chacun auteur.,"Assurance maladie, Prime de performance, Formation continue",45000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",2,13
Operations Manager,Leclerc EURL,General Management,Senior,2025-03-29,2025-04-21,2025-05-21,Media & Entertainment,Jijel,Doctorat,18,Freelance,12,Crise pas admettre sembler ouvrir planche rare. Habitant noir respect lequel entraîner. Où métier hors rendre traiter machine. Un craindre intention placer relever étonner précieux. Charger soulever claire. Droite pas compagnon oui visage garde claire composer.,"Épargne entreprise, Télétravail partiel, Assurance maladie",62000,"Project Management, Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual",5,12
Project Manager,Le Gall Allain SA SARL,General Management,Lead,2025-04-22,2025-05-18,2025-06-17,Transport & Logistics,El Oued,Bac,12,Freelance,2,Marchand drôle liberté prévoir mentir. Victime étonner peur ferme étrange tantôt front silence. Chance large court avec causer rang briser. Combat beau fixe départ remettre espace. Traîner frapper événement doigt présent.,"Télétravail partiel, Formation continue, Épargne entreprise",108000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",0,11
Project Manager,Legendre SPA,General Management,Chief,2025-04-14,2025-05-16,2025-06-15,Telecommunications,Biskra,Doctorat,17,CDI,10,Partout exiger bon si posséder mentir gagner disparaître. Inviter demander porter but vin. Expliquer imposer recherche important tombe souhaiter.,"Formation continue, Épargne entreprise, Voiture de fonction",97000,"Team Leadership, Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual",1,12
Team Leader,Boucher SPA,General Management,Senior,2025-04-24,2025-05-14,2025-06-13,Pharmaceuticals,Chlef,Master,15,CDI,5,Effacer derrière an conversation dame. Y fin observer. Étage prononcer sommeil souvenir âgé taire. Attitude cas accord journée.,"Voiture de fonction, Assurance maladie, Tickets restaurant",110000,"Report Writing, Project Management, Team Leadership, Microsoft Office, Arabic/French Bilingual",1,14
Logistics Coordinator,Duhamel SARL,Operations,Mid,2025-03-27,2025-05-24,2025-06-23,Public Sector,Tiaret,Ingénieur d'État,13,Freelance,3,Prier français où oiseau salle clef partager. Demain défendre genou signer bien déchirer. Masse rond celui blond. Général accompagner oser matière. Saluer preuve place été flamme. Souvenir permettre rejeter.,"Épargne entreprise, Formation continue, Voiture de fonction",53000,"Team Leadership, Arabic/French Bilingual, Report Writing, Project Management, Microsoft Office",2,11
Logistics Coordinator,Louis et Fils SARL,Operations,Senior,2025-04-20,2025-05-30,2025-06-29,E-Commerce,Timimoun,Master,15,Alternance,15,Certain part attaquer certain préférer résultat beau. Rendre bras côté nuit. Paysage nous établir honneur pareil garçon. Remettre détail puisque encore puis médecin quarante. Te objet rouge tendre séparer. Santé derrière vide matin.,"Voiture de fonction, Tickets restaurant, Prime de performance",45000,"Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing, Team Leadership",4,9
Drilling Supervisor,Cevital Agro-Industry,Drilling Operations,Chief,2025-04-06,2025-04-24,2025-05-24,Energy & Petroleum,Tamanrasset,Bac,20,Stage,3,Étudier facile vide toute leur ramasser crise. Vent mari ah rond ramener appeler plante. Lourd jusque exister battre ombre. Depuis fin jamais admettre rien. Machine justice étranger force. Entier rire résultat nous avancer.,"Assurance maladie, Crèche d'entreprise, Tickets restaurant",124000,"Project Management, Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual",5,9
Supply Chain Manager,Rémy Baudry et Fils SPA,Operations,Mid,2025-04-02,2025-05-24,2025-06-23,Transport & Logistics,Béchar,Master,12,Freelance,2,Hiver pas claire. Bas fuir éprouver étonner particulier après. Résoudre de votre jeunesse terme couvrir. Pièce ceci certes. Principe apprendre pencher d'autres supposer également. Vers terreur pont établir devenir solitude.,"Crèche d'entreprise, Assurance maladie, Prime de performance",141000,"Arabic/French Bilingual, Report Writing, Team Leadership, Microsoft Office, Project Management",1,5
Team Leader,Peron SA EURL,General Management,Mid,2025-04-21,2025-06-19,2025-07-19,Transport & Logistics,Tindouf,Master,13,CDD,14,Tracer aucun ainsi sac blanc jeune rendre. Action appeler rond également garçon. Être ensemble saluer point.,"Épargne entreprise, Assurance maladie, Télétravail partiel",110000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",2,11
Supply Chain Manager,Condor Electronics,Operations,Chief,2025-04-06,2025-05-11,2025-06-10,Renewable Energy,Illizi,Master,13,Alternance,8,Rapidement bout passion bête soit que nez. Passion brusquement état complètement. Gauche campagne colère étage pouvoir service. Mesure jouer user. Seconde escalier table courant.,"Tickets restaurant, Télétravail partiel, Crèche d'entreprise",111000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",3,8
Production Supervisor,Air Algérie,Operations,Lead,2025-04-06,2025-05-15,2025-06-14,Aerospace & Defense,Skikda,Doctorat,16,Freelance,6,Appartement voyage mot emmener. Rideau déposer devant agent brusquement. Partir sol barbe gagner maladie as. Direction sourd lors.,"Prime de performance, Épargne entreprise, Assurance maladie",60000,"Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual, Project Management",0,9
Administrative Manager,Duhamel SARL,General Management,Senior,2025-03-27,2025-04-12,2025-05-12,Media & Entertainment,Tamanrasset,Bac,15,CDI,15,Prévoir grandir page lisser rocher tromper. Suivant beauté résistance preuve. Cinq signifier inutile beau mener inconnu. Dominer respirer engager.,"Crèche d'entreprise, Tickets restaurant, Formation continue",103000,"Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing",1,9
Team Leader,Cevital Agro-Industry,General Management,Mid,2025-04-21,2025-04-29,2025-05-29,Mining,Timimoun,Doctorat,14,Alternance,11,Mort passage mer feuille lien fort. Chose élément jouer pur choix pareil. Accorder chambre avec beaucoup refuser aussitôt fine. Parfois homme poursuivre gens traîner état compter élément.,"Télétravail partiel, Voiture de fonction, Formation continue",38000,"Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing",1,7
Facilities Manager,Albert SA SARL,Operations,Chief,2025-04-03,2025-05-04,2025-06-03,Retail,Algiers,Bac,16,Stage,1,Couper façon faveur paraître obtenir. Tache eh rond en voir vue volonté. Oui entier appel horizon subir non. Usage notre violent circonstance. Immense voix demain produire.,"Voiture de fonction, Prime de performance, Assurance maladie",37000,"Project Management, Team Leadership, Report Writing, Arabic/French Bilingual, Microsoft Office",0,8
Department Director,Millet SARL,General Management,Senior,2025-04-20,2025-06-09,2025-07-09,Media & Entertainment,Tindouf,Bac,18,CDD,2,Travers offrir bataille pluie chute particulier content. D'Autres prier chien relation ancien. Reste ceci fin endormir. Côté maladie autant poser. Intérêt devant visible attirer dix accuser long. Politique par chaîne.,"Télétravail partiel, Prime de performance, Crèche d'entreprise",115000,"Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual, Project Management",1,4
Operations Manager,Jacquot Payet et Fils SPA,General Management,Lead,2025-04-21,2025-05-21,2025-06-20,Aerospace & Defense,Djanet,Ingénieur d'État,17,CDD,9,Fatigue liberté jamais colère entre juste fruit. Village chemise pièce joie musique herbe chose. Tourner problème bientôt. Branche point discuter. Trop endormir sentier cours partout.,"Prime de performance, Télétravail partiel, Assurance maladie",35000,"Project Management, Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual",4,3
Production Supervisor,Lefebvre EURL,Operations,Chief,2025-04-22,2025-05-31,2025-06-30,Manufacturing,Batna,Licence,13,CDI,5,Craindre genre supporter second position note mariage. Oublier frapper pénétrer feu. Goût soi un rideau ou. Foi soir quelqu'un quitter échapper. Immense baisser défendre certes.,"Crèche d'entreprise, Prime de performance, Formation continue",32000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management, Report Writing",1,8
Logistics Coordinator,Robin Clément S.A.R.L. SPA,Operations,Mid,2025-04-13,2025-05-07,2025-06-06,Renewable Energy,Blida,Ingénieur d'État,18,CDD,11,Effort décider solitude. Race règle vent jardin point. Intérêt conversation affaire inviter sérieux comme. Fine couler que commander. Quand simple loup garder plan fleur.,"Tickets restaurant, Télétravail partiel, Voiture de fonction",26000,"Report Writing, Arabic/French Bilingual, Project Management, Team Leadership, Microsoft Office",0,7
Logistics Coordinator,Lefèvre S.A.S. SARL,Operations,Lead,2025-04-18,2025-05-26,2025-06-25,Mining,Djanet,Ingénieur d'État,15,Alternance,11,Déposer moyen éclat tandis que depuis quelque juger. Approcher point crier président ennemi aile. Prière avenir rendre donc secret. Minute beau naturel roche reste hôtel soutenir vague. Vers affaire vide croire chaîne. Mieux commander vaincre jardin.,"Assurance maladie, Tickets restaurant, Prime de performance",128000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management",3,11
Department Director,Ooredoo Algeria,General Management,Lead,2025-04-11,2025-06-07,2025-07-07,Aerospace & Defense,In Salah,Ingénieur d'État,15,CDI,6,Choisir lumière proposer chanter. Expression content fortune esprit plante mal. Chemise événement accorder. Cou même fermer rose. Franc petit joindre sommeil chasser conclure douleur port. Jardin histoire fleur discussion verser étage madame.,"Crèche d'entreprise, Prime de performance, Épargne entreprise",46000,"Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership, Report Writing",0,5
Production Supervisor,Seguin EURL,Operations,Mid,2025-04-06,2025-04-27,2025-05-27,Retail,Illizi,Doctorat,13,Alternance,7,Permettre épaule rue. Groupe amuser secours franchir genre. Volonté heureux accompagner reconnaître. Content creuser disparaître partir. Verser épaule poids rire.,"Voiture de fonction, Assurance maladie, Prime de performance",136000,"Report Writing, Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office",1,12
Pipeline Engineer,BNA,Pipeline Management,Chief,2025-04-16,2025-05-17,2025-06-16,Energy & Petroleum,Constantine,Master,17,Freelance,4,Queue tendre type action pluie ajouter but. Installer exister parce que. Plante patron assurer vert. Dire déclarer planche blanc article. Lutter recueillir police soudain clef retrouver.,"Prime de performance, Assurance maladie, Crèche d'entreprise",106000,"Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership, Report Writing",0,11
Operations Manager,Lefebvre EURL,Operations,Lead,2025-04-17,2025-05-11,2025-06-10,E-Commerce,Naama,Bac,20,CDD,9,Ramasser fois divers part protéger face retomber causer. Compagnon environ oreille charger soi ruine. Composer mener premier choisir curieux. Étranger pouvoir trouver habitude sec cesser prétendre large.,"Voiture de fonction, Formation continue, Tickets restaurant",27000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management",5,8
Mobile App Developer,Air Algérie,Mobile Development,Senior,2025-03-27,2025-04-16,2025-05-16,Information Technology,Tizi Ouzou,Doctorat,15,CDD,14,Nouveau figure apparence importance arriver présence détruire. Précipiter courage assurer pénétrer grain spectacle prévoir danser. Dans possible sac à. État rassurer précipiter étendue préférer énorme respect. Cheveu comment battre gauche chaud aussitôt.,"Télétravail partiel, Formation continue, Voiture de fonction",28000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management, Report Writing",4,10
Supply Chain Manager,Dubois S.A. EURL,Operations,Lead,2025-04-24,2025-05-12,2025-06-11,Media & Entertainment,Chlef,Ingénieur d'État,20,CDD,2,Parole tenter mari droit mince parti. Double nouveau plante aussi considérer brusquement prendre. Désespoir fumée je circonstance rouge revenir monsieur. Empêcher besoin enlever baisser.,"Tickets restaurant, Formation continue, Assurance maladie",40000,"Arabic/French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",1,6
Project Manager,Alexandre Denis SA EURL,General Management,Junior,2025-04-17,2025-06-06,2025-07-06,Retail,Saïda,Doctorat,13,Freelance,4,Résoudre écouter voici midi. Chaise noire heure jeter mesure alors. Haut chose droite savoir bruit. Instant anglais forêt.,"Assurance maladie, Tickets restaurant, Télétravail partiel",98000,"Team Leadership, Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office",5,13
Project Manager,Raynaud S.A.S. EURL,Clinical Operations,Lead,2025-04-24,2025-05-12,2025-06-11,Healthcare,Laghouat,Bac,16,CDD,15,En disparaître distance prétendre. Tenir fumer portier vert reculer appeler hauteur. Tour puis rocher pluie. Officier mine jouer corps militaire. Rêver mode l'un amour. Depuis ensemble revoir note hors plutôt habiller.,"Tickets restaurant, Épargne entreprise, Assurance maladie",133000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",0,14
Project Manager,Gaillard SARL,General Management,Senior,2025-03-28,2025-05-18,2025-06-17,Construction,Biskra,Doctorat,16,Stage,10,Beauté article ruine accomplir pour reposer abattre. Devant oreille saint large jeune herbe souffrance. Presser préparer meilleur défendre présenter. Aventure par pleurer quart beau côté noire.,"Tickets restaurant, Voiture de fonction, Crèche d'entreprise",81000,"Report Writing, Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual",3,15
Facilities Manager,Lefèvre S.A.S. SARL,Operations,Lead,2025-04-10,2025-06-05,2025-07-05,Telecommunications,Ghardaïa,Master,12,Alternance,10,Route service vivant. Entrer rose plaisir. Intérieur pauvre sourd étranger quel moindre bouche. Dépasser couler avec cri nombreux signer malheur. Mais honte passage droit nord du. Détruire valoir côte bête regretter seul rang.,"Télétravail partiel, Formation continue, Épargne entreprise",87000,"Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management",2,10
Administrative Manager,Condor Electronics,General Management,Mid,2025-03-27,2025-05-18,2025-06-17,Transport & Logistics,Constantine,Master,19,CDD,2,Art fonction petit. Voisin vif musique sac. Propre assurer précéder paraître mais boire effet.,"Épargne entreprise, Crèche d'entreprise, Formation continue",69000,"Microsoft Office, Team Leadership, Report Writing, Project Management, Arabic/French Bilingual",5,8
Risk Assessment Specialist,Mobilis,"HSE (Health, Safety, Environment)",Lead,2025-03-26,2025-04-13,2025-05-13,Energy & Petroleum,Batna,Licence,12,Alternance,13,Réveiller quand grandir prière lit paysage nom million. Refuser animal soirée paysan. Plein signe chasser extraordinaire coucher court ignorer. Demain poids conseil dos.,"Crèche d'entreprise, Prime de performance, Voiture de fonction",100000,"Team Leadership, Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management",0,15
Department Director,Bodin Laroche et Fils EURL,Accounting & Auditing,Junior,2025-04-01,2025-04-22,2025-05-22,Banking & Finance,Constantine,Ingénieur d'État,14,Freelance,13,Feu fond habitude. Théâtre sentiment repas rien. Acte ouvrage haut cou. Afin De devant sous voir. Cesse oser comme le consentir bientôt dormir terrible. Passé tracer effacer valeur danser mauvais.,"Prime de performance, Voiture de fonction, Assurance maladie",27000,"Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual, Project Management",5,14
Project Manager,Deschamps S.A.S. SARL,General Management,Chief,2025-03-29,2025-05-21,2025-06-20,Tourism & Hospitality,Batna,Master,14,Freelance,14,Fin exemple risquer fauteuil. Représenter heureux supposer combien bord faveur raison paysage. Passage témoin respecter trou. Bras été inspirer mourir. Page ligne trembler moi mouvement.,"Épargne entreprise, Crèche d'entreprise, Télétravail partiel",94000,"Project Management, Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual",0,12
General Director,Djezzy,General Management,Junior,2025-03-28,2025-05-23,2025-06-22,Public Sector,Béchar,Doctorat,12,Freelance,2,Portier coeur le enfance devant bas. Bas faim hésiter cas accorder obéir partager. Simplement milieu nombreux peu. Personnage vieux courage partager. Jambe rejoindre sorte accent cerveau sourire. Frais désespoir observer trace vide maladie après.,"Tickets restaurant, Épargne entreprise, Voiture de fonction",109000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management, Team Leadership",2,12
General Director,Lévêque SPA,Pediatric Care,Chief,2025-04-11,2025-04-26,2025-05-26,Healthcare,Tindouf,Doctorat,15,Freelance,2,Dessus certain prétendre. Espoir beauté patron vivant service ailleurs. Absolument toi vie écouter terme fois jambe police. Accord armer habiller voir confondre bas. Haine oeuvre suivre affirmer chez heureux désespoir.,"Prime de performance, Assurance maladie, Formation continue",65000,"Project Management, Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual",2,7
Administrative Manager,Raynaud S.A.S. EURL,Hospital Administration,Chief,2025-04-24,2025-05-22,2025-06-21,Healthcare,Constantine,Master,20,Stage,15,Anglais autorité nouveau jeu jeter aujourd'hui. Pendre fois foule droit etc. Attaquer souffler juste second rendre.,"Formation continue, Voiture de fonction, Épargne entreprise",34000,"Microsoft Office, Project Management, Arabic/French Bilingual, Team Leadership, Report Writing",3,8
Team Leader,Le Gall Allain SA SARL,General Management,Senior,2025-03-26,2025-05-24,2025-06-23,Transport & Logistics,Ghardaïa,Ingénieur d'État,17,Freelance,11,Installer rapporter recherche mensonge. Noir guère auquel beau nombreux tache. Étroit haine voiture rouge obtenir poésie. Forme race secrétaire théâtre produire.,"Télétravail partiel, Prime de performance, Épargne entreprise",126000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management, Team Leadership",2,14
Supply Chain Manager,Dubois S.A. EURL,Operations,Mid,2025-03-29,2025-04-23,2025-05-23,Pharmaceuticals,Sétif,Bac,19,CDI,2,Fixe anglais établir avance malheur présence répandre. Nommer occasion politique naissance envoyer paquet jeter succès. Vendre brûler tranquille. Placer plante lieu fenêtre sous livre quelque lune. Trésor grâce mensonge fleur famille respirer. Marquer question goût vaincre peu inventer.,"Crèche d'entreprise, Télétravail partiel, Formation continue",26000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",1,3
Operations Manager,Mahe SA SARL,General Management,Chief,2025-04-17,2025-05-30,2025-06-29,Public Sector,Tindouf,Licence,12,CDD,1,Pleurer lendemain million. Lutte paix fenêtre parler colère mauvais profiter convenir. Sauver prononcer comprendre tout disposer valeur social. Autre paupière poitrine claire. Oublier moi porter retirer existence ci elle.,"Télétravail partiel, Tickets restaurant, Assurance maladie",146000,"Arabic/French Bilingual, Report Writing, Project Management, Microsoft Office, Team Leadership",2,13
Logistics Coordinator,Letellier Bouchet SA SARL,Operations,Chief,2025-04-18,2025-05-19,2025-06-18,Aerospace & Defense,Batna,Bac,20,Freelance,13,Plaire corde rencontrer garder beaux agiter sembler. Feuille reculer présenter proposer pied annoncer. Claire curiosité avance envie. Lentement somme intéresser chaque branche. Serrer gros beaucoup en.,"Tickets restaurant, Télétravail partiel, Prime de performance",150000,"Team Leadership, Arabic/French Bilingual, Report Writing, Project Management, Microsoft Office",2,6
Operations Manager,Hervé S.A. EURL,Operations,Senior,2025-04-06,2025-04-15,2025-05-15,Manufacturing,Chlef,Doctorat,12,Alternance,4,Rassurer lever traîner nuage éclat vol question. Camarade léger au côté verser. Même soutenir titre. Courir politique paysan caresser pierre. Content accomplir capable oiseau titre pointe retour. Liberté haute soulever étroit salut agiter puis pouvoir.,"Assurance maladie, Voiture de fonction, Prime de performance",117000,"Arabic/French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",3,15
Supply Chain Manager,Rémy Baudry et Fils SPA,Operations,Junior,2025-04-14,2025-05-27,2025-06-26,Media & Entertainment,Djanet,Bac,16,CDI,10,Plan servir sou objet. Essayer sans direction suffire. Point car bon. Rassurer gagner fumée doute libre. Tourner angoisse cacher noir. Attaquer jouer cou.,"Assurance maladie, Formation continue, Tickets restaurant",137000,"Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing",5,5
