job_Id,job title,department,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,technical_skills,experience_min_req,experience_max_req,salary
398,Teacher,Curriculum Developer,2025-03-09,2025-03-14,2025-04-13,Education,Blida,Doctorat,20,Alternance,4,"Classroom Management, E-Learning Tools (Articulate), Open Educational Resources (OER), Hybrid Learning, Teacher Training, AI Tutoring, Language Apps (Duolingo), LMS (Moodle/Canvas)",0,1,58000
399,Store Manager,Sales Associate,2025-04-04,2025-04-05,2025-05-05,Retail,Oran,Licence,15,Alternance,7,"Social Commerce, Retail Analytics, Pricing Strategy, Consumer Behavior Analysis, Visual Merchandising, Loss Prevention",0,1,43000
400,E-Commerce Manager,UX/UI Designer,2025-03-09,2025-04-05,2025-05-05,E-Commerce,Sétif,Doctorat,20,CDD,1,"AR/VR Try-Ons, GDPR/CCPA Compliance, Affiliate Marketing, Product Information Management (PIM), Email Automation, A/B Testing, Shopify/Magento, Inventory Forecasting, Headless Commerce, Chatbot Development, Customer Segmentation, Heatmap Analysis, AI Personalization, Mobile App Development (React Native), Marketplace Management (Amazon/eBay)",8,11,100000
401,Regulatory Affairs Specialist,Formulation Scientist,2025-04-13,2025-05-01,2025-05-31,Pharmaceuticals,Skikda,Doctorat,20,Freelance,8,"Pharmaceutical Marketing, Batch Record Review, HPLC, GLP Standards, Biostatistics, GMP Compliance, Medical Writing, Regulatory Affairs, Pharmaceutical Sales, Formulation Development, CMC Documentation, Stability Testing, FDA Submissions, Preclinical Research, Quality Assurance (QA)",8,14,140000
402,Grid Integration Specialist,Grid Integration Specialist,2025-03-17,2025-03-26,2025-04-25,Renewable Energy,Oran,Licence,15,Alternance,1,"Energy Policy, Hydropower Design, Net Metering, Inverter Technology, Solar PV Systems, Wind Turbine Maintenance, Grid Integration",0,2,94000
403,Drilling Supervisor,Petroleum Engineer,2025-02-14,2025-03-14,2025-04-13,Energy & Petroleum,Batna,Master,17,CDD,2,"Subsea Engineering, Power Plant Management, Energy Trading, Hydraulic Fracturing, Risk Assessment (HAZOP), IoT for Oilfields, SCADA Systems, Petroleum Engineering, Smart Grid Technology, Digital Twins, Hydrogen Energy Systems, Pipeline Leak Detection, Offshore Operations, LNG Operations",6,8,200000
404,Geologist,Mine Engineer,2025-04-15,2025-04-26,2025-05-26,Mining,Oran,Doctorat,20,CDI,3,"Drilling Operations, Mine Ventilation, Mine Planning, Mine Reclamation, Slope Stability Analysis, Surface Mining, Mining Automation, Mining Equipment Maintenance, Tailings Management, Mineralogy, GIS for Mining, Underground Mining Techniques, Mining Economics, Blasting Techniques, Mining Safety Standards",8,13,160000
405,Agri-Tech Developer,Agri-Tech Developer,2025-02-16,2025-03-02,2025-04-01,Agriculture,Sétif,Master,17,CDI,4,"Remote Sensing for Crops, Agricultural Data Analysis, Agricultural Policy, Precision Agriculture, Sustainable Farming, Agricultural Economics, Pest Control Strategies, Crop Management, Post-Harvest Technology, Seed Technology, Hydroponics, Irrigation Systems, Agroforestry, Farm Machinery, Agrochemical Knowledge",6,10,50000
406,Production Supervisor,Production Supervisor,2025-04-30,2025-05-29,2025-06-28,Manufacturing,Algiers,Ingénieur d'État,18,Internship,1,"Tooling Design, Supply Chain Optimization, Quality Control, Robotics (ROS), MES Systems, Rapid Prototyping, Digital Twins",0,1,66000
407,Agronomist,Farm Manager,2025-04-26,2025-05-01,2025-05-31,Agriculture,M’sila,No Formal Education,0,Internship,10,"Crop Management, Agricultural Supply Chains, Sustainable Farming",0,1,24000
408,UX/UI Designer,E-Commerce Manager,2025-04-25,2025-05-22,2025-06-21,E-Commerce,Sétif,Master,17,Internship,2,"3PL Logistics, Payment Gateways (Stripe/PayPal), A/B Testing, GDPR/CCPA Compliance, Voice Commerce, Dropshipping, Mobile App Development (React Native)",0,1,90000
409,Defense Analyst,Defense Analyst,2025-04-23,2025-04-24,2025-05-24,Aerospace & Defense,Jijel,Licence,15,Freelance,1,"CAD for Aerospace, Aerospace Materials, ITAR Compliance, Avionics Systems, Radar Systems, Defense Contracting, Thermal Analysis, Ground Control Systems, Mission Planning",2,5,148000
410,Customs Compliance Officer,Customs Compliance Officer,2025-03-12,2025-04-06,2025-05-06,Transport & Logistics,M’sila,Baccalaureate,12,CDD,3,"TMS Software, Reverse Logistics, Logistics Costing, Logistics Analytics, Logistics Automation, Customs Compliance",0,1,53000
411,Maintenance Engineer,Maintenance Engineer,2025-03-20,2025-04-06,2025-05-06,Manufacturing,Sétif,No Formal Education,0,Alternance,10,"Additive Manufacturing, Tooling Design, Safety Standards",0,1,36000
412,Supply Chain Analyst,Supply Chain Analyst,2025-02-13,2025-03-09,2025-04-08,Transport & Logistics,Annaba,No Formal Education,0,Freelance,4,"Reverse Logistics, SCM ERP Systems, Inventory Control",0,1,42000
413,Financial Analyst,Portfolio Manager,2025-04-10,2025-04-26,2025-05-26,Finance,Algiers,Master,17,CDD,1,"Treasury Management, Audit Techniques, IPO Preparation, Robo-Advisors, Crowdfunding, Actuarial Science, ESG Investing, CBDCs, Cost Accounting, Credit Analysis, Portfolio Management, Private Equity, Data Analytics (Power BI), Financial Modeling, Fintech Development",6,10,120000
414,Logistics Manager,Logistics Manager,2025-02-08,2025-02-28,2025-03-30,Transport & Logistics,Constantine,Licence,15,Internship,4,"Supply Chain Optimization, Fleet Management, Route Optimization, Shipment Tracking, TMS Software, Logistics Planning",0,1,64000
415,Auditor,Risk Manager,2025-04-27,2025-05-20,2025-06-19,Finance,Constantine,Licence,15,CDI,3,"Tax Strategy, Crowdfunding, Quantitative Finance, ESG Investing, Private Equity, Portfolio Management, M&A, Derivatives",2,3,94000
416,Supply Chain Analyst,Customs Compliance Officer,2025-02-17,2025-03-10,2025-04-09,Transport & Logistics,Algiers,No Formal Education,0,CDD,3,"Logistics Automation, Inventory Control, Logistics Costing",0,1,42000
417,Energy Auditor,Wind Turbine Engineer,2025-03-14,2025-04-05,2025-05-05,Renewable Energy,Bejaïa,Ingénieur d'État,18,CDI,5,"Battery Storage Systems, Power Purchase Agreements (PPAs), Net Metering, Inverter Technology, Energy Policy, Load Flow Analysis, Energy Management Systems, Biomass Energy Systems, Renewable Energy Forecasting, Energy Simulation, Grid Integration, Hydropower Design",4,6,126000
418,Customs Compliance Officer,Customs Compliance Officer,2025-04-16,2025-04-23,2025-05-23,Transport & Logistics,Tipaza,Licence,15,Alternance,7,"Cold Chain Logistics, Route Optimization, EDI Integration, SCM ERP Systems, Last-Mile Delivery, Transportation Modeling",0,1,64000
419,Geologist,Blasting Technician,2025-03-21,2025-03-29,2025-04-28,Mining,Blida,Master,17,CDI,3,"Rock Mechanics, Mineralogy, Blasting Techniques, Ore Processing, Slope Stability Analysis, Drilling Operations, Environmental Impact of Mining, Underground Mining Techniques, Mine Ventilation, Surface Mining, Mining Equipment Maintenance, Mining Automation, GIS for Mining, Geological Mapping, Mining Safety Standards",6,10,160000
420,Drilling Supervisor,Reservoir Engineer,2025-04-19,2025-05-14,2025-06-13,Energy & Petroleum,Blida,Master,17,CDI,6,"Risk Assessment (HAZOP), Subsea Engineering, Geospatial Analysis (GIS), Reservoir Simulation, Pipeline Integrity Management, Energy Trading, Hydraulic Fracturing, Smart Grid Technology, Thermal Modeling, Petrochemical Design, Power Plant Management, Wind Farm Design, LNG Operations",6,7,200000
421,Tour Guide,Event Coordinator,2025-04-11,2025-04-24,2025-05-24,Tourism & Hospitality,Algiers,Licence,15,Freelance,6,"Hotel Operations, Airline Reservations, Cultural Tourism, Revenue Management, Hospitality Accounting, Customer Relationship Management, Sustainable Tourism, Guest Services, Travel Regulations",2,5,49000
422,Cybersecurity Analyst,Cybersecurity Analyst,2025-04-07,2025-05-03,2025-06-02,Information Technology,Skikda,No Formal Education,0,Freelance,4,"Azure, GCP, TensorFlow",0,1,71000
423,Project Engineer,Quantity Surveyor,2025-04-23,2025-05-16,2025-06-15,Construction,Algiers,Ingénieur d'État,18,Freelance,6,"Safety Audits, Urban Planning, Facility Management, CAD (AutoCAD), Building Codes, Bridge Engineering, Concrete Tech, Sustainable Design (LEED), Stakeholder Collaboration, Construction Law, Water Management, Road Engineering, Tunnel Construction",4,8,90000
424,Aquaculture Technician,Quality Assurance Officer,2025-03-24,2025-04-14,2025-05-14,Fisheries,Annaba,Ingénieur d'État,18,CDI,6,"Marine Biology, Hatchery Operations, Sustainable Fishing Techniques, Fish Nutrition, Fish Stock Assessment, Oceanographic Survey, Fisheries Data Analysis, Net Design, Water Quality Management, Aquaculture Management, Marine Ecosystem Monitoring, Biosecurity in Aquaculture",4,7,49000
425,Quality Control Inspector,Quality Control Inspector,2025-04-28,2025-05-26,2025-06-25,Manufacturing,Sétif,Doctorat,20,Alternance,2,"Additive Manufacturing, Industrial Automation (PLC), 3D Printing, Digital Twins, Materials Management, Process Engineering, Rapid Prototyping, Robotics (ROS), ERP (SAP)",0,2,78000
426,Fishery Inspector,Fishery Inspector,2025-03-05,2025-03-20,2025-04-19,Fisheries,Annaba,Licence,15,Internship,8,"Fish Nutrition, Aquaponics, GPS for Fishing, Seafood Traceability, Fisheries Regulations, Sustainable Fishing Techniques",0,1,36000
427,Avionics Engineer,Defense Analyst,2025-04-30,2025-05-11,2025-06-10,Aerospace & Defense,Blida,Master,17,Alternance,8,"Radar Systems, Defense Contracting, Mission Planning, Aerodynamics Simulation, ITAR Compliance, CAD for Aerospace, Military Standards (MIL-STD)",0,1,162000
428,Data Scientist,Cybersecurity Analyst,2025-04-28,2025-05-02,2025-06-01,Information Technology,Tébessa,Ingénieur d'État,18,CDD,10,"Redis, GitHub, Agile, Generative AI, R, TDD, Matplotlib, Kotlin, GitHub Actions, Grafana, MySQL",4,5,143000
429,Academic Advisor,Teacher,2025-03-06,2025-03-27,2025-04-26,Education,Oran,Doctorat,20,Freelance,7,"Digital Assessments, Interactive Whiteboards, Curriculum Design, Hybrid Learning, Gamification (Kahoot), AI Tutoring, Open Educational Resources (OER), Blockchain Credentials, Accessibility (WCAG), Educational Robotics, AR/VR Learning, MOOC Platforms (Coursera), STEM Tools, Peer Learning Platforms, Coding Bootcamps",8,11,60000
430,E-Commerce Manager,Marketplace Coordinator,2025-03-02,2025-03-24,2025-04-23,E-Commerce,Oran,Doctorat,20,CDD,6,"Supply Chain Analytics, Inventory Forecasting, 3PL Logistics, Last-Mile Delivery, Subscription Models, Omnichannel Strategy, Influencer Marketing, Mobile App Development (React Native), Email Automation, Heatmap Analysis, Sustainable E-Commerce, User-Generated Content (UGC), SEO/SEM, Cross-Border E-Commerce, Payment Gateways (Stripe/PayPal)",8,12,100000
431,Instructional Designer,Curriculum Developer,2025-04-03,2025-05-02,2025-06-01,Education,Algiers,Baccalaureate,12,Freelance,3,"Digital Assessments, Curriculum Design, Podcasting in Ed, Virtual Labs (Labster), Data Privacy (FERPA), E-Learning Tools (Articulate)",0,1,40000
432,Avionics Engineer,Avionics Engineer,2025-04-12,2025-04-30,2025-05-30,Aerospace & Defense,Algiers,Doctorat,20,CDD,4,"Radar Systems, Avionics Systems, DO-178C Certification, ITAR Compliance, Unmanned Aerial Systems, Systems Engineering, Ground Control Systems, Aerospace Materials, Satellite Communications, Aerodynamics Simulation, Flight Testing, Thermal Analysis, Defense Contracting, CAD for Aerospace, Mission Planning",8,10,180000
433,UX/UI Designer,E-Commerce Manager,2025-03-11,2025-03-12,2025-04-11,E-Commerce,Bejaïa,Licence,15,Alternance,4,"User-Generated Content (UGC), Customer Lifetime Value (CLV), Warehouse Automation (WMS), Product Information Management (PIM), Dropshipping, Affiliate Marketing, Cryptocurrency Payments",0,2,73000
434,Marine Biologist,Aquaculture Technician,2025-03-26,2025-04-10,2025-05-10,Fisheries,Tiaret,Baccalaureate,12,Internship,4,"Marine Ecosystem Monitoring, Fisheries Data Analysis, Fish Stock Assessment, Marine Biology, Aquaponics, Fish Disease Management",0,1,30000
435,Wind Turbine Engineer,Energy Auditor,2025-02-24,2025-03-19,2025-04-18,Renewable Energy,Oran,Master,17,Internship,3,"Energy Management Systems, Power Purchase Agreements (PPAs), Battery Storage Systems, Net Metering, Solar PV Systems, Sustainable Design, Biomass Energy Systems",0,1,116000
436,Software Engineer,Data Scientist,2025-02-27,2025-03-16,2025-04-15,Information Technology,Algiers,Master,17,CDI,5,"Computer Vision, SQL, Rust, Spring Boot, Nessus, AWS S3, TDD, Postman, Git, Burp Suite, Jira, Stable Diffusion, C++, Redis",6,8,150000
437,Quantity Surveyor,Quantity Surveyor,2025-04-25,2025-05-07,2025-06-06,Construction,Algiers,Master,17,Internship,5,"Environmental Impact Assessment, Bridge Engineering, Construction Robotics, 3D Printing, Risk Management, CAD (AutoCAD), Tunnel Construction",0,1,81000
438,Guest Services Manager,Event Coordinator,2025-03-12,2025-03-25,2025-04-24,Tourism & Hospitality,Constantine,Ingénieur d'État,18,CDI,2,"Travel Itinerary Planning, Revenue Management, Tour Guiding, Travel Regulations, Hospitality Marketing, Airline Reservations, Destination Management, Front Office Operations, Customer Relationship Management, Guest Services, Hospitality Accounting, Hospitality Branding",4,6,58000
439,Risk Manager,Risk Manager,2025-05-03,2025-05-31,2025-06-30,Finance,Jijel,Licence,15,Alternance,4,"Credit Analysis, Wealth Management, IPO Preparation, Blockchain/Crypto, Fintech Development, Economic Forecasting, Financial AI",0,2,88000
440,Defense Analyst,Defense Analyst,2025-04-16,2025-04-29,2025-05-29,Aerospace & Defense,Constantine,Doctorat,20,CDI,7,"Defense Contracting, Ground Control Systems, Jet Propulsion, Systems Engineering, Flight Control Systems, CAD for Aerospace, Weapon Systems Integration, ITAR Compliance, DO-178C Certification, Thermal Analysis, Mission Planning, Military Standards (MIL-STD), Aerodynamics Simulation, Avionics Systems, Radar Systems",8,15,180000
441,Medical Technologist,Medical Technologist,2025-04-01,2025-04-01,2025-05-01,Healthcare,Algiers,Baccalaureate,12,Alternance,6,"Epidemiology, AI Drug Discovery, Surgical Robotics, Health Economics, Population Health, Wearable Tech, Infection Control",0,2,54000
442,Instructional Designer,Curriculum Developer,2025-03-29,2025-04-07,2025-05-07,Education,Annaba,Master,17,Freelance,6,"E-Learning Tools (Articulate), Mental Health Tools, Peer Learning Platforms, Language Apps (Duolingo), AI Grading, Digital Portfolios, Gamification (Kahoot), Hybrid Learning, Teacher Training, Special Ed Tech, Open Educational Resources (OER), Blockchain Credentials, Accessibility (WCAG), LMS (Moodle/Canvas)",6,9,60000
443,Quantity Surveyor,Project Engineer,2025-02-15,2025-02-26,2025-03-28,Construction,Constantine,No Formal Education,0,CDI,2,"Tunnel Construction, Green Certifications, Stakeholder Collaboration",0,1,46000
444,Merchandiser,Inventory Coordinator,2025-04-17,2025-05-06,2025-06-05,Retail,Biskra,Doctorat,20,Internship,2,"Dynamic Pricing, Retail Analytics, Retail Automation, In-Store Analytics, Demand Forecasting, Personal Shopping AI, Vendor Management, Retail Chatbots",0,1,57000
445,Policy Analyst,Policy Analyst,2025-03-26,2025-04-21,2025-05-21,Public Sector,Algiers,Master,17,Alternance,7,"Civic Tech, Digital Identity Systems, IT for Government, E-Government Solutions, Government Auditing, Urban Planning, Regulatory Compliance",0,1,63000
446,Risk Manager,Financial Analyst,2025-04-21,2025-05-02,2025-06-01,Finance,Constantine,Licence,15,Freelance,7,"ESG Investing, Data Analytics (Power BI), Real Estate Finance, Blockchain/Crypto, Credit Analysis, Algorithmic Trading, Tax Strategy, IPO Preparation, Economic Forecasting",2,5,97000
447,Digital Services Manager,Policy Analyst,2025-04-15,2025-05-08,2025-06-07,Public Sector,Algiers,Baccalaureate,12,Freelance,1,"Government Auditing, Municipal Budgeting, Public Policy Analysis, Legislative Drafting, Open Data Platforms, Government CRM",0,1,43000
448,Guest Services Manager,Event Coordinator,2025-04-10,2025-05-03,2025-06-02,Tourism & Hospitality,Sétif,Doctorat,20,Freelance,6,"Hospitality Accounting, Hospitality Branding, Travel Itinerary Planning, Guest Services, Culinary Arts, Travel Regulations, Hospitality Software (Opera), Hotel Operations, Food & Beverage Management, Tour Guiding, Hospitality Marketing, Sustainable Tourism, Tourism Policy, Airline Reservations, Revenue Management",8,14,60000
449,Defense Analyst,Defense Analyst,2025-03-22,2025-03-22,2025-04-21,Aerospace & Defense,Annaba,Licence,15,Freelance,1,"Satellite Communications, Mission Planning, Weapon Systems Integration, Military Standards (MIL-STD), Thermal Analysis, Aerodynamics Simulation, Defense Contracting, Unmanned Aerial Systems, Flight Testing",2,5,148000
450,Instructional Designer,Academic Advisor,2025-02-16,2025-03-02,2025-04-01,Education,Annaba,Licence,15,Alternance,10,"Learning Analytics, Virtual Classrooms (Zoom), Flipped Classroom Models, Hybrid Learning, STEM Tools, Data Privacy (FERPA)",0,1,46000
451,Wind Turbine Engineer,Wind Turbine Engineer,2025-02-28,2025-03-19,2025-04-18,Renewable Energy,Annaba,Ingénieur d'État,18,CDI,2,"Energy Management Systems, Energy Policy, Renewable Energy Forecasting, Grid Integration, Renewable Energy Site Assessment, Net Metering, Energy Simulation, Biomass Energy Systems, Wind Turbine Maintenance, Load Flow Analysis, Battery Storage Systems, Power Purchase Agreements (PPAs)",4,6,126000
452,Software Engineer,DevOps Engineer,2025-04-15,2025-04-26,2025-05-26,Information Technology,Béjaïa,Doctorat,20,Internship,9,"PostgreSQL, REST APIs, Node.js, TDD, React, IDS, Bash, Spark",0,1,143000
453,Blasting Technician,Geologist,2025-03-08,2025-04-05,2025-05-05,Mining,Biskra,Ingénieur d'État,18,Alternance,1,"Tailings Management, Mining Economics, Mining Equipment Maintenance, Mineralogy, Mineral Exploration, Drilling Operations, Surface Mining",0,1,132000
454,Reservoir Engineer,HSE Specialist,2025-03-14,2025-04-05,2025-05-05,Energy & Petroleum,Constantine,Master,17,CDD,8,"HSE Compliance, Hydraulic Fracturing, Hydrogen Energy Systems, Well Logging, Energy Auditing, Reservoir Simulation, Risk Assessment (HAZOP), Nuclear Safety Protocols, SCADA Systems, Emissions Monitoring, Energy Storage Solutions, Regulatory Compliance (EPA), Smart Grid Technology, Drilling Optimization",6,9,200000
455,Medical Technologist,Registered Nurse,2025-04-01,2025-04-26,2025-05-26,Healthcare,Constantine,Master,17,Internship,5,"Precision Medicine, Epidemiology, Pharmacy Automation, Mental Health Apps, Rehabilitation Tech, Population Health, Surgical Robotics",0,1,73000
456,Irrigation Specialist,Irrigation Specialist,2025-03-12,2025-04-01,2025-05-01,Agriculture,Annaba,Doctorat,20,Alternance,7,"Hydroponics, Crop Management, Post-Harvest Technology, Agricultural Data Analysis, Pest Control Strategies, Remote Sensing for Crops, Soil Science, Farm Machinery, Genetically Modified Crops",0,2,48000
457,Medical Technologist,Medical Technologist,2025-04-20,2025-05-16,2025-06-15,Healthcare,Algiers,Ingénieur d'État,18,Alternance,2,"Rehabilitation Tech, VR Therapy, AI Diagnostics, Medical Imaging (MRI/CT), Telemedicine, Surgical Robotics, Population Health, Nursing Informatics",0,2,70000
458,Irrigation Specialist,Agri-Tech Developer,2025-03-11,2025-03-28,2025-04-27,Agriculture,Constantine,Doctorat,20,Internship,4,"Farm Machinery, Sustainable Farming, Agroforestry, Post-Harvest Technology, Pest Control Strategies, Agricultural Policy, Genetically Modified Crops, Irrigation Systems",0,1,48000
459,Inventory Coordinator,Merchandiser,2025-04-16,2025-05-08,2025-06-07,Retail,Algiers,No Formal Education,0,CDI,2,"Inventory Management, RFID, AR Shopping",0,1,29000
460,Portfolio Manager,Portfolio Manager,2025-03-05,2025-03-19,2025-04-18,Finance,Mostaganem,Ingénieur d'État,18,Alternance,3,"Fintech Development, CBDCs, Risk Management (FRM), Credit Analysis, Wealth Management, Actuarial Science, Private Equity",0,1,101000
461,Registered Nurse,Medical Technologist,2025-03-03,2025-03-14,2025-04-13,Healthcare,Constantine,Baccalaureate,12,Alternance,8,"HIPAA Compliance, Stem Cell Research, Clinical Trials, Infection Control, AI Diagnostics, Health Informatics",0,1,53000
462,Academic Advisor,Academic Advisor,2025-02-18,2025-02-27,2025-03-29,Education,Constantine,Master,17,CDI,4,"Podcasting in Ed, Data Privacy (FERPA), Student Information Systems (SIS), Learning Analytics, Open Educational Resources (OER), Blockchain Credentials, Flipped Classroom Models, Classroom Management, Plagiarism Detection (Turnitin), Adaptive Learning, AI Grading, E-Learning Tools (Articulate), Accessibility (WCAG), Gamification (Kahoot)",6,9,60000
463,Medical Technologist,Clinical Researcher,2025-03-09,2025-03-14,2025-04-13,Healthcare,Annaba,Licence,15,Alternance,9,"HIPAA Compliance, AI Drug Discovery, Digital Therapeutics, Mental Health Apps, Health Informatics, Precision Medicine, Biomedical Engineering",0,2,62000
464,Portfolio Manager,Portfolio Manager,2025-04-20,2025-05-16,2025-06-15,Finance,Oran,Ingénieur d'État,18,Internship,3,"Regulatory Compliance (SOX), Wealth Management, Credit Analysis, Financial Planning Software, Fintech Development, Real Estate Finance, AML Compliance",0,1,101000
465,Billing Specialist,Billing Specialist,2025-04-22,2025-04-30,2025-05-30,Telecommunications,Algiers,Doctorat,20,CDD,2,"Network Provisioning, VSAT Systems, Network Planning, VoIP Systems, Network Monitoring Tools, QoS Management, Fiber Optic Technology, RF Engineering, Microwave Engineering, BSS/OSS Systems, Telecom Regulations, Telecom Project Management, IP/MPLS, 5G Network Design, Spectrum Management",8,13,120000
466,Teacher,Curriculum Developer,2025-02-25,2025-03-07,2025-04-06,Education,Biskra,Doctorat,20,Internship,2,"Virtual Labs (Labster), Parent-Teacher Apps, Classroom Management, Adaptive Learning, E-Learning Tools (Articulate), STEM Tools, Learning Analytics, Mental Health Tools",0,1,58000
467,Grid Integration Specialist,Grid Integration Specialist,2025-04-19,2025-05-12,2025-06-11,Renewable Energy,Oran,Master,17,CDI,9,"Energy Policy, Load Flow Analysis, Renewable Energy Forecasting, Wind Turbine Maintenance, Hydropower Design, Power Purchase Agreements (PPAs), Net Metering, Energy Efficiency Auditing, Energy Management Systems, Sustainable Design, Renewable Energy Economics, Grid Integration, Battery Storage Systems, Green Building Codes",6,8,130000
468,Maintenance Engineer,Process Technician,2025-03-05,2025-04-02,2025-05-02,Manufacturing,Saïda,Doctorat,20,CDD,5,"Waste Reduction, Digital Twins, Rapid Prototyping, Six Sigma, Sustainable Practices, Tooling Design, Workforce Training, Quality Control, Supply Chain Resilience, 3D Printing, CAD/CAM, Lean Manufacturing, Energy Efficiency, Predictive Maintenance, MES Systems",8,12,80000
469,Agronomist,Agri-Tech Developer,2025-04-21,2025-05-16,2025-06-15,Agriculture,Laghouat,Master,17,Alternance,2,"Precision Agriculture, Livestock Management, Remote Sensing for Crops, Genetically Modified Crops, Farm Machinery, Seed Technology, Agricultural Policy",0,1,45000
470,Risk Manager,Risk Manager,2025-04-05,2025-04-18,2025-05-18,Finance,Algiers,Ingénieur d'État,18,CDD,9,"Cost Accounting, Crowdfunding, ESG Investing, Fintech Development, Algorithmic Trading, Economic Forecasting, AML Compliance, Quantitative Finance, Wealth Management, Financial Cybersecurity, Private Equity, M&A, Financial Planning Software",4,8,120000
471,Registered Nurse,Health Informatics Specialist,2025-02-16,2025-02-25,2025-03-27,Healthcare,Annaba,Ingénieur d'État,18,Alternance,1,"Surgical Robotics, EHR Systems, Digital Therapeutics, Medical Device Regulation, Pharmacy Automation, Wearable Tech, Health Economics",0,1,69000
472,Supply Chain Analyst,Customs Compliance Officer,2025-03-07,2025-03-18,2025-04-17,Transport & Logistics,Sétif,No Formal Education,0,CDI,7,"Logistics Analytics, SCM ERP Systems, Customs Compliance",0,1,42000
473,Drilling Supervisor,HSE Specialist,2025-03-14,2025-03-22,2025-04-21,Energy & Petroleum,Annaba,Doctorat,20,Internship,6,"Predictive Maintenance AI, Solar Energy Systems, Pipeline Leak Detection, Risk Assessment (HAZOP), Geospatial Analysis (GIS), Biofuel Production, Petrochemical Design, Wind Farm Design",0,1,190000
474,Clinical Trials Manager,Formulation Scientist,2025-03-08,2025-03-08,2025-04-07,Pharmaceuticals,Annaba,Licence,15,CDD,5,"FDA Submissions, Pharmaceutical Marketing, Clinical Trials Management, Quality Assurance (QA), HPLC, Stability Testing, Biostatistics, Drug Formulation, Sterile Manufacturing",2,4,112000
475,Procurement Officer,Urban Planner,2025-04-16,2025-05-11,2025-06-10,Public Sector,El Oued,Doctorat,20,Internship,3,"Public Policy Analysis, E-Government Solutions, Social Program Management, Digital Identity Systems, IT for Government, Legislative Drafting, Public Sector Accounting, Public Finance",0,1,67000
476,Clinical Trials Manager,QA Analyst,2025-02-19,2025-03-04,2025-04-03,Pharmaceuticals,Adrar,Master,17,Freelance,8,"Batch Record Review, Drug Formulation, Formulation Development, Quality Assurance (QA), Stability Testing, Biostatistics, Analytical Chemistry, Clinical Trials Management, GLP Standards, Pharmacovigilance, HPLC, Pharmaceutical Marketing, Pharmaceutical Sales, Sterile Manufacturing",6,8,140000
477,Medical Technologist,Medical Technologist,2025-02-11,2025-02-13,2025-03-15,Healthcare,Oran,Licence,15,Internship,1,"Health Economics, HIPAA Compliance, Mental Health Apps, EHR Systems, Digital Therapeutics, Clinical Trials",0,1,61000
478,Quality Assurance Officer,Marine Biologist,2025-04-01,2025-04-15,2025-05-15,Fisheries,Blida,Baccalaureate,12,Freelance,7,"Fish Stock Assessment, Net Design, Sustainable Fishing Techniques, Fisheries Regulations, Fisheries Data Analysis, Fisheries Economics, Hatchery Operations",0,2,30000
479,SEO Specialist,E-Commerce Manager,2025-04-15,2025-04-21,2025-05-21,E-Commerce,Algiers,No Formal Education,0,Freelance,4,"Dropshipping, User-Generated Content (UGC), Social Commerce (TikTok/Instagram)",0,1,48000
480,Telecom Analyst,Network Engineer,2025-04-09,2025-05-02,2025-06-01,Telecommunications,Oran,Baccalaureate,12,Alternance,3,"Carrier Ethernet, Telecom Regulations, SDN/NFV, Mobile Core Networks, LTE/4G/5G Optimization, Network Provisioning, Telecom Billing Systems",0,2,74000
481,Site Manager,Site Manager,2025-02-16,2025-02-16,2025-03-18,Construction,Annaba,Baccalaureate,12,Internship,2,"Urban Planning, Water Management, Green Certifications, Geotechnical Engineering, CAD (AutoCAD), Sustainable Design (LEED)",0,1,56000
482,Energy Auditor,Energy Auditor,2025-04-03,2025-04-16,2025-05-16,Renewable Energy,Sétif,Doctorat,20,CDI,7,"Energy Simulation, Net Metering, Solar PV Systems, Inverter Technology, Renewable Energy Forecasting, Hydropower Design, Battery Storage Systems, Smart Grid Systems, Renewable Energy Site Assessment, Sustainable Design, Biomass Energy Systems, Energy Efficiency Auditing, Renewable Energy Economics, Power Purchase Agreements (PPAs), Load Flow Analysis",8,12,130000
483,Agri-Tech Developer,Agri-Tech Developer,2025-03-24,2025-04-16,2025-05-16,Agriculture,El Oued,Master,17,Freelance,4,"Hydroponics, Irrigation Systems, Precision Agriculture, Seed Technology, Agricultural Data Analysis, Agrochemical Knowledge, Genetically Modified Crops, Livestock Management, Agroforestry, AgriTech Solutions, Agricultural Policy, Agricultural Economics, Post-Harvest Technology, Pest Control Strategies",6,8,50000
484,Software Engineer,Data Scientist,2025-03-21,2025-04-06,2025-05-06,Information Technology,Sétif,No Formal Education,0,CDD,5,"Stable Diffusion, Elasticsearch, Jira",0,1,71000
485,Event Coordinator,Event Coordinator,2025-02-24,2025-02-26,2025-03-28,Tourism & Hospitality,Oran,Doctorat,20,Alternance,5,"Culinary Arts, Travel Itinerary Planning, Hotel Operations, Guest Services, Food & Beverage Management, Cultural Tourism, Revenue Management, Hospitality Marketing, Tourism Policy",0,2,58000
486,Marine Biologist,Fishery Inspector,2025-03-03,2025-03-26,2025-04-25,Fisheries,M’sila,Baccalaureate,12,Freelance,5,"Seafood Traceability, Water Quality Management, Oceanographic Survey, Fisheries Data Analysis, Fisheries Economics, Marine Ecosystem Monitoring",0,1,30000
