job title,hiring organization,department,seniority level,date posted,valid through,sector,job location,education requirement,type of contract,available posts,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
General Director,Delmas S.A. EURL,General Management,Senior,2025-04-19,2025-06-18,Renewable Energy,Adrar,Bac,Alternance,5,"Voiture de fonction, Télétravail partiel, Formation continue",89000,"Project Management, Team Leadership, Report Writing, Arabic/French Bilingual, Microsoft Office",4,5
Supply Chain Manager,Maillard S.A. SPA,Operations,Junior,2025-04-16,2025-07-04,Media & Entertainment,Djanet,Doctorat,Stage,2,"Assurance maladie, Tickets restaurant, Voiture de fonction",83000,"Team Leadership, Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office",3,10
Supply Chain Manager,Barbier SPA,Operations,Chief,2025-03-29,2025-05-24,Transport & Logistics,In Salah,Ingénieur d'État,Stage,14,"Formation continue, Voiture de fonction, Tickets restaurant",108000,"Project Management, Team Leadership, Report Writing, Arabic/French Bilingual, Microsoft Office",3,11
Department Director,CEVITAL,General Management,Junior,2025-04-07,2025-05-16,Retail,Oran,Bac,Freelance,1,"Formation continue, Tickets restaurant, Crèche d'entreprise",61000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",2,6
Administrative Manager,ENIE,General Management,Chief,2025-03-30,2025-05-23,E-Commerce,Jijel,Licence,Alternance,6,"Formation continue, Assurance maladie, Crèche d'entreprise",72000,"Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing",5,6
General Director,Pereira SARL,General Management,Chief,2025-04-10,2025-07-01,Retail,Tizi Ouzou,Master,CDD,3,"Voiture de fonction, Crèche d'entreprise, Formation continue",44000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management, Report Writing",4,9
Project Manager,Lefèvre Couturier S.A.R.L. EURL,General Management,Junior,2025-04-05,2025-06-04,Manufacturing,Aïn Témouchent,Doctorat,Stage,5,"Crèche d'entreprise, Télétravail partiel, Prime de performance",71000,"Project Management, Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership",4,15
Production Supervisor,Gomez SARL,Operations,Junior,2025-04-19,2025-06-02,Aerospace & Defense,In Salah,Master,Alternance,15,"Formation continue, Crèche d'entreprise, Assurance maladie",66000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management, Report Writing",1,7
Project Manager,Duhamel S.A.R.L. SPA,General Management,Mid,2025-04-08,2025-05-18,Pharmaceuticals,Biskra,Bac,Alternance,9,"Prime de performance, Télétravail partiel, Voiture de fonction",125000,"Team Leadership, Project Management, Report Writing, Microsoft Office, Arabic/French Bilingual",4,6
Project Manager,Lévêque SARL,General Management,Lead,2025-04-18,2025-06-16,Tourism & Hospitality,Béchar,Licence,CDI,3,"Télétravail partiel, Crèche d'entreprise, Assurance maladie",74000,"Team Leadership, Microsoft Office, Report Writing, Project Management, Arabic/French Bilingual",1,13
Directional Driller,Diaz SARL SARL,Drilling Operations,Junior,2025-04-17,2025-06-23,Energy & Petroleum,Naama,Doctorat,CDI,15,"Formation continue, Voiture de fonction, Tickets restaurant",37000,"Arabic/French Bilingual, Team Leadership, Report Writing, Project Management, Microsoft Office",2,13
General Director,Lucas SPA,Export Operations,Senior,2025-03-27,2025-05-24,Agriculture,Mostaganem,Licence,CDI,12,"Épargne entreprise, Assurance maladie, Crèche d'entreprise",75000,"Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership, Report Writing",5,3
Operations Manager,Garcia EURL,Operations,Mid,2025-03-26,2025-06-02,Retail,Annaba,Ingénieur d'État,Freelance,8,"Assurance maladie, Formation continue, Crèche d'entreprise",94000,"Team Leadership, Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management",2,11
Administrative Manager,Roux SARL SPA,Agronomy Research,Lead,2025-04-16,2025-07-01,Agriculture,Oran,Ingénieur d'État,Alternance,9,"Assurance maladie, Prime de performance, Crèche d'entreprise",76000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Report Writing, Project Management",0,8
Facilities Manager,Bernard Petitjean SA SPA,Operations,Senior,2025-04-07,2025-06-15,Mining,Saïda,Bac,Alternance,1,"Prime de performance, Tickets restaurant, Épargne entreprise",106000,"Microsoft Office, Report Writing, Project Management, Team Leadership, Arabic/French Bilingual",4,11
General Director,Sonatrach,General Management,Lead,2025-04-24,2025-06-16,Fisheries,Laghouat,Licence,CDI,7,"Crèche d'entreprise, Assurance maladie, Télétravail partiel",136000,"Microsoft Office, Project Management, Team Leadership, Report Writing, Arabic/French Bilingual",5,13
Field Operations Manager,Pereira SARL,Exploration & Production,Junior,2025-03-27,2025-05-15,Energy & Petroleum,M'sila,Licence,Stage,12,"Voiture de fonction, Prime de performance, Assurance maladie",83000,"Petrel Software, Reservoir Simulation, Drilling Optimization, Geological Modeling, HYSYS, Well Logging, Enhanced Oil Recovery",1,11
Project Manager,Sauvage SARL,General Management,Lead,2025-03-29,2025-05-11,Transport & Logistics,Naama,Master,Freelance,15,"Formation continue, Prime de performance, Épargne entreprise",68000,"Project Management, Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual",1,15
Operations Manager,Manadjim El Djazaïr,Agronomy Research,Chief,2025-04-14,2025-05-24,Agriculture,In Salah,Bac,Alternance,10,"Assurance maladie, Prime de performance, Épargne entreprise",146000,"Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership",1,7
Facilities Manager,Roux SARL SPA,Operations,Chief,2025-04-13,2025-07-01,Telecommunications,Ghardaïa,Ingénieur d'État,CDI,11,"Crèche d'entreprise, Tickets restaurant, Voiture de fonction",82000,"Report Writing, Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual",1,11
Technical Support Engineer,Ollivier Becker S.A.R.L. SPA,IT Support,Lead,2025-04-24,2025-06-13,Information Technology,Annaba,Ingénieur d'État,Freelance,5,"Assurance maladie, Voiture de fonction, Épargne entreprise",133000,"Report Writing, Arabic/French Bilingual, Project Management, Microsoft Office, Team Leadership",5,10
General Director,Djezzy,Food Processing,Junior,2025-04-24,2025-07-20,Agriculture,Djanet,Bac,Alternance,3,"Crèche d'entreprise, Assurance maladie, Tickets restaurant",117000,"Team Leadership, Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office",0,8
Operations Manager,Boulanger S.A. SPA,General Management,Lead,2025-04-16,2025-06-13,Renewable Energy,Annaba,Doctorat,Freelance,9,"Assurance maladie, Télétravail partiel, Tickets restaurant",137000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",4,13
Operations Manager,Seguin et Fils EURL,General Management,Lead,2025-04-08,2025-06-05,Media & Entertainment,Ouargla,Doctorat,CDI,10,"Voiture de fonction, Télétravail partiel, Épargne entreprise",25000,"Arabic/French Bilingual, Project Management, Report Writing, Team Leadership, Microsoft Office",1,9
Production Supervisor,CNAN,Operations,Mid,2025-04-05,2025-05-28,Fisheries,Laghouat,Bac,CDI,13,"Tickets restaurant, Prime de performance, Épargne entreprise",109000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",0,13
General Director,Loiseau et Fils EURL,General Management,Senior,2025-03-29,2025-05-29,Tourism & Hospitality,Sétif,Master,Stage,13,"Tickets restaurant, Prime de performance, Formation continue",64000,"Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual, Project Management",4,8
Process Engineer,Marchal S.A.S. SPA,Refining & Processing,Junior,2025-03-30,2025-06-23,Energy & Petroleum,Ouargla,Bac,Stage,14,"Prime de performance, Crèche d'entreprise, Voiture de fonction",98000,"Report Writing, Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office",1,12
Facilities Manager,Olivier SPA,Operations,Chief,2025-04-23,2025-07-08,Transport & Logistics,Saïda,Ingénieur d'État,Freelance,15,"Formation continue, Voiture de fonction, Télétravail partiel",59000,"Microsoft Office, Project Management, Report Writing, Team Leadership, Arabic/French Bilingual",4,6
Production Supervisor,Olivier SPA,Operations,Junior,2025-03-30,2025-05-30,Retail,El Oued,Bac,Freelance,4,"Épargne entreprise, Prime de performance, Assurance maladie",56000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",0,15
Facilities Manager,Pascal EURL,Operations,Junior,2025-04-15,2025-06-28,Media & Entertainment,Laghouat,Doctorat,Alternance,14,"Formation continue, Voiture de fonction, Tickets restaurant",132000,"Microsoft Office, Team Leadership, Project Management, Report Writing, Arabic/French Bilingual",1,14
Supply Chain Manager,Maillard S.A. SPA,Operations,Chief,2025-04-14,2025-06-28,Renewable Energy,Oran,Ingénieur d'État,CDI,6,"Télétravail partiel, Prime de performance, Tickets restaurant",44000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership, Project Management",3,5
Operations Manager,Guérin Dumas S.A. SPA,Sustainable Farming,Mid,2025-04-10,2025-05-17,Agriculture,Biskra,Master,Stage,14,"Assurance maladie, Télétravail partiel, Prime de performance",145000,"Precision Agriculture, Agroecology, Permaculture Design, Organic Certification, Water Conservation, Soil Health Management",2,15
General Director,Bertrand Caron SA SPA,General Management,Lead,2025-04-02,2025-06-07,E-Commerce,Blida,Doctorat,CDD,15,"Prime de performance, Télétravail partiel, Formation continue",132000,"Arabic/French Bilingual, Microsoft Office, Project Management, Report Writing, Team Leadership",3,5
Department Director,Lucas EURL,E-Learning Platforms,Chief,2025-04-12,2025-06-25,Education,Ouargla,Licence,CDI,10,"Formation continue, Prime de performance, Télétravail partiel",28000,"Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management",1,13
Operations Manager,Ooredoo Algeria,Operations,Senior,2025-04-08,2025-05-23,Transport & Logistics,Oran,Licence,Alternance,13,"Formation continue, Voiture de fonction, Prime de performance",77000,"Project Management, Team Leadership, Arabic/French Bilingual, Report Writing, Microsoft Office",4,10
Administrative Manager,Marchal S.A.S. SPA,Investment Management,Junior,2025-04-08,2025-06-29,Banking & Finance,Tébessa,Master,Alternance,8,"Formation continue, Télétravail partiel, Crèche d'entreprise",84000,"Report Writing, Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual",0,7
Operations Manager,Condor Electronics,Food Processing,Mid,2025-04-09,2025-06-04,Agriculture,Algiers,Licence,CDD,1,"Assurance maladie, Épargne entreprise, Voiture de fonction",120000,"Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office, Team Leadership",4,6
Operations Manager,Leclercq SPA,General Management,Junior,2025-04-19,2025-06-23,Transport & Logistics,Timimoun,Master,CDD,1,"Télétravail partiel, Voiture de fonction, Crèche d'entreprise",149000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management",2,7
Supply Chain Manager,Duhamel S.A.R.L. SPA,Operations,Mid,2025-04-17,2025-05-28,Media & Entertainment,M'sila,Bac,Stage,11,"Voiture de fonction, Tickets restaurant, Crèche d'entreprise",29000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",5,14
Operations Manager,Diaz SARL SARL,Operations,Lead,2025-04-05,2025-06-27,Fisheries,Béchar,Master,CDD,10,"Voiture de fonction, Télétravail partiel, Tickets restaurant",96000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Report Writing, Project Management",5,4
Operations Manager,Gérard S.A.S. SARL,General Management,Mid,2025-04-04,2025-06-18,Fisheries,Algiers,Licence,CDD,2,"Voiture de fonction, Tickets restaurant, Crèche d'entreprise",133000,"Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing, Project Management",1,8
Operations Manager,Cosider,Operations,Mid,2025-04-15,2025-05-28,Mining,Béjaïa,Bac,Freelance,12,"Télétravail partiel, Prime de performance, Voiture de fonction",48000,"Report Writing, Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management",5,4
Project Manager,Air Algérie,Medical Equipment Maintenance,Junior,2025-04-15,2025-06-20,Healthcare,Constantine,Bac,CDD,9,"Voiture de fonction, Tickets restaurant, Télétravail partiel",121000,"Arabic/French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",4,12
Logistics Coordinator,Sofiane Pharma,Operations,Chief,2025-04-22,2025-05-31,Public Sector,Tamanrasset,Licence,Alternance,3,"Formation continue, Voiture de fonction, Épargne entreprise",31000,"Project Management, Arabic/French Bilingual, Report Writing, Team Leadership, Microsoft Office",1,7
Logistics Coordinator,Sofiane Pharma,Operations,Mid,2025-04-20,2025-06-03,Manufacturing,Naama,Ingénieur d'État,CDD,8,"Prime de performance, Formation continue, Épargne entreprise",45000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management, Report Writing",1,7
General Director,Buisson SPA,Agronomy Research,Lead,2025-04-03,2025-05-27,Agriculture,Sétif,Master,CDD,10,"Épargne entreprise, Crèche d'entreprise, Télétravail partiel",61000,"Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual, Project Management",5,5
Department Director,Diaz SARL SARL,General Management,Junior,2025-04-18,2025-06-09,Manufacturing,El Oued,Licence,CDI,13,"Épargne entreprise, Télétravail partiel, Tickets restaurant",123000,"Arabic/French Bilingual, Report Writing, Team Leadership, Project Management, Microsoft Office",4,6
Project Manager,BNA,Agronomy Research,Lead,2025-04-06,2025-05-23,Agriculture,Tindouf,Master,CDI,13,"Épargne entreprise, Formation continue, Crèche d'entreprise",54000,"Report Writing, Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual",0,15
Project Manager,BNA,Higher Education,Junior,2025-04-16,2025-06-30,Education,Ghardaïa,Ingénieur d'État,CDD,6,"Tickets restaurant, Prime de performance, Crèche d'entreprise",87000,"Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing",0,10
Project Manager,Cosider,General Management,Chief,2025-03-29,2025-06-22,Mining,Timimoun,Master,Alternance,1,"Crèche d'entreprise, Télétravail partiel, Formation continue",134000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",1,3
Logistics Coordinator,Batimétal,Operations,Chief,2025-03-29,2025-05-30,Tourism & Hospitality,El Oued,Doctorat,CDD,5,"Assurance maladie, Voiture de fonction, Épargne entreprise",125000,"Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual, Report Writing",5,5
Department Director,Batimétal,General Management,Senior,2025-04-02,2025-05-09,Mining,Tébessa,Master,CDI,7,"Tickets restaurant, Crèche d'entreprise, Prime de performance",135000,"Arabic/French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",4,4
Department Director,Maillard S.A. SPA,General Management,Chief,2025-04-07,2025-05-17,Tourism & Hospitality,El Oued,Doctorat,Freelance,1,"Voiture de fonction, Formation continue, Prime de performance",64000,"Microsoft Office, Team Leadership, Project Management, Report Writing, Arabic/French Bilingual",1,8
Administrative Manager,Ollivier Becker S.A.R.L. SPA,General Management,Junior,2025-04-07,2025-06-09,Telecommunications,Mostaganem,Ingénieur d'État,Freelance,7,"Tickets restaurant, Crèche d'entreprise, Prime de performance",45000,"Report Writing, Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management",4,5
Project Manager,Air Algérie,General Management,Junior,2025-04-21,2025-06-18,Transport & Logistics,Biskra,Ingénieur d'État,CDI,5,"Crèche d'entreprise, Télétravail partiel, Formation continue",87000,"Report Writing, Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual",1,5
Production Engineer,Maillard S.A. SPA,Exploration & Production,Lead,2025-04-20,2025-05-31,Energy & Petroleum,Djanet,Ingénieur d'État,Alternance,2,"Télétravail partiel, Voiture de fonction, Crèche d'entreprise",86000,"Geological Modeling, Enhanced Oil Recovery, Petrel Software, Drilling Optimization, HYSYS, Reservoir Simulation, Well Logging",0,3
Team Leader,Diaz SARL SARL,General Management,Senior,2025-03-28,2025-06-04,Aerospace & Defense,Annaba,Bac,CDD,15,"Télétravail partiel, Crèche d'entreprise, Tickets restaurant",118000,"Team Leadership, Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management",3,6
Logistics Coordinator,Bertrand Caron SA SPA,Operations,Mid,2025-04-10,2025-05-25,Construction,Saïda,Bac,Stage,4,"Tickets restaurant, Formation continue, Assurance maladie",104000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management, Report Writing",1,15
Production Supervisor,Marchal S.A.S. SPA,Operations,Lead,2025-04-12,2025-06-30,Tourism & Hospitality,Batna,Doctorat,Alternance,13,"Prime de performance, Assurance maladie, Épargne entreprise",118000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",4,12
Supply Chain Manager,Roux SARL SPA,Operations,Chief,2025-04-11,2025-06-04,Renewable Energy,Laghouat,Ingénieur d'État,CDD,2,"Télétravail partiel, Assurance maladie, Prime de performance",134000,"Microsoft Office, Report Writing, Project Management, Arabic/French Bilingual, Team Leadership",0,9
Production Supervisor,Bertrand Caron SA SPA,Operations,Junior,2025-04-15,2025-06-24,Manufacturing,Chlef,Licence,Freelance,7,"Formation continue, Assurance maladie, Prime de performance",117000,"Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management",3,6
AI Researcher,Sonalgaz,Data Science & AI,Lead,2025-03-31,2025-06-06,Information Technology,Chlef,Master,Freelance,3,"Tickets restaurant, Prime de performance, Assurance maladie",92000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management, Team Leadership",3,13
Logistics Coordinator,Barbier SPA,Operations,Senior,2025-04-16,2025-07-14,Media & Entertainment,Batna,Doctorat,CDI,2,"Tickets restaurant, Assurance maladie, Formation continue",125000,"Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual, Report Writing",0,7
Administrative Manager,Batimétal,Vocational Training,Senior,2025-04-19,2025-07-13,Education,Illizi,Doctorat,Freelance,8,"Télétravail partiel, Formation continue, Voiture de fonction",84000,"Report Writing, Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management",0,10
Administrative Manager,Algérie Télécom,General Management,Mid,2025-04-10,2025-06-30,Pharmaceuticals,Tiaret,Doctorat,Alternance,11,"Prime de performance, Voiture de fonction, Épargne entreprise",46000,"Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual, Team Leadership",4,3
Petroleum Engineer,Joseph SARL,Exploration & Production,Mid,2025-04-14,2025-06-02,Energy & Petroleum,Algiers,Licence,Stage,5,"Voiture de fonction, Épargne entreprise, Télétravail partiel",106000,"Drilling Optimization, Enhanced Oil Recovery, Geological Modeling, Petrel Software, Well Logging, Reservoir Simulation, HYSYS",1,7
Operations Manager,Schmitt SARL EURL,Operations,Junior,2025-04-08,2025-05-21,Pharmaceuticals,Saïda,Master,Alternance,5,"Prime de performance, Voiture de fonction, Épargne entreprise",89000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",2,14
Operations Manager,Gérard S.A.S. SARL,General Management,Senior,2025-03-31,2025-06-04,Mining,Djanet,Licence,Stage,4,"Télétravail partiel, Assurance maladie, Épargne entreprise",88000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management, Team Leadership",2,3
General Director,Pereira SARL,General Management,Lead,2025-04-20,2025-06-17,Renewable Energy,M'sila,Licence,Alternance,5,"Tickets restaurant, Assurance maladie, Voiture de fonction",123000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",0,3
Project Manager,Air Algérie,General Management,Senior,2025-04-16,2025-06-15,Manufacturing,Laghouat,Licence,Freelance,10,"Tickets restaurant, Formation continue, Prime de performance",143000,"Project Management, Microsoft Office, Arabic/French Bilingual, Team Leadership, Report Writing",0,10
Supply Chain Manager,Sanchez SARL EURL,Operations,Mid,2025-04-08,2025-05-16,Telecommunications,El Tarf,Ingénieur d'État,Alternance,9,"Télétravail partiel, Tickets restaurant, Prime de performance",138000,"Arabic/French Bilingual, Project Management, Microsoft Office, Team Leadership, Report Writing",0,14
Logistics Coordinator,BNA,Operations,Mid,2025-04-14,2025-05-30,Aerospace & Defense,Tizi Ouzou,Bac,Alternance,4,"Prime de performance, Télétravail partiel, Assurance maladie",82000,"Microsoft Office, Report Writing, Project Management, Arabic/French Bilingual, Team Leadership",5,5
Administrative Manager,Buisson SPA,General Management,Mid,2025-03-28,2025-06-09,Manufacturing,Saïda,Licence,CDD,7,"Prime de performance, Assurance maladie, Crèche d'entreprise",31000,"Report Writing, Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office",0,3
Production Supervisor,Ooredoo Algeria,Operations,Chief,2025-04-20,2025-06-13,Telecommunications,Timimoun,Ingénieur d'État,Stage,11,"Épargne entreprise, Crèche d'entreprise, Formation continue",117000,"Report Writing, Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office",1,6
Operations Manager,Boutin S.A. SARL,Operations,Senior,2025-04-04,2025-05-27,Aerospace & Defense,In Salah,Doctorat,CDI,8,"Assurance maladie, Prime de performance, Formation continue",33000,"Project Management, Team Leadership, Arabic/French Bilingual, Report Writing, Microsoft Office",3,5
Administrative Manager,Barbier SPA,General Management,Senior,2025-03-27,2025-05-22,Telecommunications,Béjaïa,Licence,Alternance,1,"Voiture de fonction, Tickets restaurant, Télétravail partiel",144000,"Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management",2,13
Field Operations Manager,Maurice Hoareau et Fils SPA,Exploration & Production,Chief,2025-03-29,2025-06-08,Energy & Petroleum,Tlemcen,Master,Stage,2,"Crèche d'entreprise, Prime de performance, Assurance maladie",64000,"Reservoir Simulation, HYSYS, Geological Modeling, Enhanced Oil Recovery, Petrel Software, Well Logging, Drilling Optimization",0,12
Department Director,Gilbert SA SPA,General Management,Mid,2025-04-11,2025-05-19,Mining,Constantine,Doctorat,Freelance,15,"Formation continue, Télétravail partiel, Assurance maladie",135000,"Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing",5,5
Facilities Manager,Cosider,Operations,Chief,2025-04-18,2025-07-14,Media & Entertainment,Laghouat,Master,Stage,8,"Prime de performance, Épargne entreprise, Crèche d'entreprise",105000,"Report Writing, Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual",0,13
Operations Manager,Cosider,Vocational Training,Junior,2025-04-24,2025-06-05,Education,Sétif,Doctorat,CDD,15,"Télétravail partiel, Formation continue, Épargne entreprise",48000,"Team Leadership, Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office",0,3
Chemical Engineer,Seguin et Fils EURL,Refining & Processing,Lead,2025-03-27,2025-06-22,Energy & Petroleum,Aïn Témouchent,Doctorat,Stage,11,"Prime de performance, Formation continue, Télétravail partiel",141000,"Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing, Team Leadership",4,10
Mobile QA Tester,Mahe Boyer S.A.R.L. SARL,Mobile Development,Mid,2025-04-08,2025-06-30,Information Technology,Tébessa,Ingénieur d'État,CDI,3,"Tickets restaurant, Épargne entreprise, Prime de performance",43000,"Report Writing, Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual",1,8
Operations Manager,Duhamel S.A.R.L. SPA,General Management,Senior,2025-04-22,2025-06-30,Construction,Mostaganem,Licence,Alternance,5,"Assurance maladie, Télétravail partiel, Épargne entreprise",52000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Team Leadership, Project Management",1,9
Facilities Manager,Delmas S.A. EURL,Operations,Lead,2025-04-13,2025-06-10,Mining,Laghouat,Licence,Freelance,15,"Voiture de fonction, Épargne entreprise, Assurance maladie",33000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",3,3
Operations Manager,Boutin S.A. SARL,General Management,Junior,2025-03-31,2025-05-14,Aerospace & Defense,Illizi,Ingénieur d'État,Freelance,7,"Voiture de fonction, Télétravail partiel, Épargne entreprise",55000,"Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual, Project Management",2,9
Production Supervisor,Gautier SARL,Operations,Lead,2025-03-27,2025-05-09,Pharmaceuticals,Oran,Ingénieur d'État,Stage,1,"Épargne entreprise, Télétravail partiel, Assurance maladie",67000,"Microsoft Office, Project Management, Report Writing, Arabic/French Bilingual, Team Leadership",1,5
Facilities Manager,Pascal EURL,Operations,Senior,2025-04-14,2025-05-29,Telecommunications,Annaba,Licence,Stage,5,"Crèche d'entreprise, Formation continue, Assurance maladie",93000,"Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual, Project Management",5,9
Operations Manager,SNVI,Operations,Chief,2025-04-11,2025-06-22,Fisheries,El Tarf,Ingénieur d'État,CDD,11,"Tickets restaurant, Crèche d'entreprise, Voiture de fonction",104000,"Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing, Team Leadership",2,15
Department Director,CNAN,Islamic Finance,Senior,2025-04-13,2025-06-02,Banking & Finance,Blida,Doctorat,Alternance,7,"Formation continue, Crèche d'entreprise, Prime de performance",115000,"Islamic Banking Products, Sharia Compliance, Takaful Operations, Sukuk Structuring, Risk Sharing Models, Murabaha Transactions",2,9
General Director,Lebreton EURL,General Management,Junior,2025-04-09,2025-06-05,Pharmaceuticals,In Salah,Master,Freelance,4,"Prime de performance, Épargne entreprise, Télétravail partiel",126000,"Project Management, Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office",2,6
Logistics Coordinator,Bigot Henry SARL EURL,Operations,Chief,2025-04-10,2025-05-17,Tourism & Hospitality,Oran,Bac,Stage,4,"Voiture de fonction, Tickets restaurant, Télétravail partiel",71000,"Report Writing, Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office",3,12
Integrity Manager,Manadjim El Djazaïr,Pipeline Management,Lead,2025-04-09,2025-06-27,Energy & Petroleum,Saïda,Bac,CDD,15,"Formation continue, Épargne entreprise, Télétravail partiel",102000,"Team Leadership, Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office",4,15
Technical Support Engineer,Joseph SARL,IT Support,Chief,2025-03-27,2025-06-21,Information Technology,Béchar,Master,Stage,7,"Prime de performance, Crèche d'entreprise, Télétravail partiel",137000,"Report Writing, Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual",0,13
Team Leader,Philippe Dias SARL EURL,General Management,Lead,2025-04-15,2025-06-21,Manufacturing,Algiers,Bac,CDD,12,"Assurance maladie, Formation continue, Voiture de fonction",144000,"Microsoft Office, Project Management, Team Leadership, Report Writing, Arabic/French Bilingual",5,4
Operations Manager,Naftal,General Management,Junior,2025-04-14,2025-05-26,Mining,Oran,Master,Stage,14,"Assurance maladie, Voiture de fonction, Télétravail partiel",46000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management, Report Writing",4,14
Project Manager,Boulanger S.A. SPA,General Management,Mid,2025-04-08,2025-06-11,Transport & Logistics,Illizi,Master,CDD,9,"Télétravail partiel, Crèche d'entreprise, Épargne entreprise",42000,"Arabic/French Bilingual, Report Writing, Team Leadership, Project Management, Microsoft Office",3,8
Operations Manager,Bertrand Caron SA SPA,Operations,Mid,2025-04-17,2025-06-05,Fisheries,Tizi Ouzou,Licence,CDD,8,"Télétravail partiel, Assurance maladie, Épargne entreprise",125000,"Report Writing, Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office",1,11
Administrative Manager,Ooredoo Algeria,International Relations,Senior,2025-04-10,2025-06-12,Education,El Oued,Ingénieur d'État,Alternance,8,"Voiture de fonction, Assurance maladie, Tickets restaurant",130000,"Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing",3,4
General Director,Seguin et Fils EURL,General Management,Senior,2025-04-17,2025-06-26,Aerospace & Defense,Chlef,Ingénieur d'État,Alternance,13,"Télétravail partiel, Crèche d'entreprise, Formation continue",99000,"Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing",0,13
Team Leader,Bigot Henry SARL EURL,General Management,Junior,2025-04-18,2025-07-07,Transport & Logistics,Mostaganem,Licence,CDI,10,"Crèche d'entreprise, Télétravail partiel, Tickets restaurant",69000,"Report Writing, Project Management, Team Leadership, Arabic/French Bilingual, Microsoft Office",5,10
